ParamName True_Value Sim_Value InputType ResponseTime Interp_ResponseTime
Vm1 0.041400 0.215972 StepUp 990.000000 987.274243
Vm1 0.041400 0.169308 StepUp 990.000000 987.274243
Vm1 0.041400 0.033539 StepUp 990.000000 987.274243
Vm1 0.041400 0.291739 StepUp 990.000000 987.274243
Vm1 0.041400 0.077888 StepUp 990.000000 987.274243
Vm1 0.041400 0.119764 StepUp 990.000000 987.274243
Vm1 0.041400 0.174250 StepUp 990.000000 987.274243
Vm1 0.041400 0.036719 StepUp 990.000000 987.274243
Vm1 0.041400 0.029234 StepUp 990.000000 987.274243
Vm1 0.041400 0.226660 StepUp 990.000000 987.274243
Vm1 0.041400 0.191737 StepUp 990.000000 987.274243
Vm1 0.041400 0.072547 StepUp 990.000000 987.274243
Vm1 0.041400 0.217500 StepUp 990.000000 987.274243
Vm1 0.041400 0.243776 StepUp 990.000000 987.274243
Vm1 0.041400 0.385639 StepUp 990.000000 987.274243
Vm1 0.041400 0.334105 StepUp 990.000000 987.274243
Vm1 0.041400 0.298059 StepUp 990.000000 987.274243
Vm1 0.041400 0.411361 StepUp 990.000000 987.274243
Vm1 0.041400 0.191857 StepUp 990.000000 987.274243
Vm1 0.041400 0.040417 StepUp 990.000000 987.274243
Vm1 0.041400 0.318548 StepUp 990.000000 987.274243
Vm1 0.041400 0.221145 StepUp 990.000000 987.274243
Vm1 0.041400 0.098882 StepUp 990.000000 987.274243
Vm1 0.041400 0.314339 StepUp 990.000000 987.274243
Vm1 0.041400 0.245074 StepUp 990.000000 987.274243
Vm1 0.041400 0.149114 StepUp 990.000000 987.274243
Vm1 0.041400 0.258788 StepUp 990.000000 987.274243
Vm1 0.041400 0.238302 StepUp 990.000000 987.274243
Vm1 0.041400 0.276073 StepUp 990.000000 987.274243
Vm1 0.041400 0.406884 StepUp 990.000000 987.274243
Vm1 0.041400 0.397004 StepUp 990.000000 987.274243
Vm1 0.041400 0.250409 StepUp 990.000000 987.274243
Vm1 0.041400 0.225283 StepUp 990.000000 987.274243
Vm1 0.041400 0.152076 StepUp 990.000000 987.274243
Vm1 0.041400 0.401657 StepUp 990.000000 987.274243
Vm1 0.041400 0.067602 StepUp 990.000000 987.274243
Vm1 0.041400 0.268293 StepUp 990.000000 987.274243
Vm1 0.041400 0.069698 StepUp 990.000000 987.274243
Vm1 0.041400 0.323395 StepUp 990.000000 987.274243
Vm1 0.041400 0.400795 StepUp 990.000000 987.274243
Vm1 0.041400 0.236720 StepUp 990.000000 987.274243
Vm1 0.041400 0.195656 StepUp 990.000000 987.274243
Vm1 0.041400 0.178820 StepUp 990.000000 987.274243
