HEADER DATE 31-Jul-2017 20:07:22
HEADER RANDSEED 1742194538
Param True_Value Sim_Value Sim_Time Input mRNA foldedP fluo
alpha2 0.010000 0.077375 0.000000 0.000000 0.001104 0.007118 0.006190
alpha2 0.010000 0.077375 5.000000 0.000000 0.001104 0.007118 0.006190
alpha2 0.010000 0.077375 10.000000 0.000000 0.001104 0.007118 0.006190
alpha2 0.010000 0.077375 15.000000 0.000000 0.001104 0.007118 0.006190
alpha2 0.010000 0.077375 20.000000 0.000000 0.001104 0.007118 0.006190
alpha2 0.010000 0.077375 25.000000 0.000000 0.001104 0.007118 0.006190
alpha2 0.010000 0.077375 30.000000 0.000000 0.001104 0.007118 0.006190
alpha2 0.010000 0.077375 35.000000 0.000000 0.001104 0.007118 0.006190
alpha2 0.010000 0.077375 40.000000 0.000000 0.001104 0.007118 0.006190
alpha2 0.010000 0.077375 45.000000 0.000000 0.001104 0.007118 0.006190
alpha2 0.010000 0.077375 50.000000 0.000000 0.001104 0.007118 0.006190
alpha2 0.010000 0.077375 55.000000 0.000000 0.001104 0.007118 0.006190
alpha2 0.010000 0.077375 60.000000 0.000000 0.001104 0.007118 0.006190
alpha2 0.010000 0.077375 65.000000 0.000000 0.001104 0.007118 0.006190
alpha2 0.010000 0.077375 70.000000 0.000000 0.001104 0.007118 0.006190
alpha2 0.010000 0.077375 75.000000 0.000000 0.001104 0.007118 0.006190
alpha2 0.010000 0.077375 80.000000 0.000000 0.001104 0.007118 0.006190
alpha2 0.010000 0.077375 85.000000 0.000000 0.001104 0.007118 0.006190
alpha2 0.010000 0.077375 90.000000 0.000000 0.001104 0.007118 0.006190
alpha2 0.010000 0.077375 95.000000 0.000000 0.001104 0.007118 0.006190
alpha2 0.010000 0.077375 100.000000 0.000000 0.001104 0.007118 0.006190
alpha2 0.010000 0.077375 105.000000 0.000000 0.001104 0.007118 0.006190
alpha2 0.010000 0.077375 110.000000 0.000000 0.001104 0.007118 0.006190
alpha2 0.010000 0.077375 115.000000 0.000000 0.001104 0.007118 0.006190
alpha2 0.010000 0.077375 120.000000 0.000000 0.001104 0.007118 0.006190
alpha2 0.010000 0.077375 125.000000 0.000000 0.001104 0.007118 0.006190
alpha2 0.010000 0.077375 130.000000 0.000000 0.001104 0.007118 0.006190
alpha2 0.010000 0.077375 135.000000 0.000000 0.001104 0.007118 0.006190
alpha2 0.010000 0.077375 140.000000 0.000000 0.001104 0.007118 0.006190
alpha2 0.010000 0.077375 145.000000 0.000000 0.001104 0.007118 0.006190
alpha2 0.010000 0.077375 150.000000 0.000000 0.001104 0.007118 0.006190
alpha2 0.010000 0.077375 155.000000 0.000000 0.001104 0.007118 0.006190
alpha2 0.010000 0.077375 160.000000 0.000000 0.001104 0.007118 0.006190
alpha2 0.010000 0.077375 165.000000 0.000000 0.001104 0.007118 0.006190
alpha2 0.010000 0.077375 170.000000 0.000000 0.001104 0.007118 0.006190
alpha2 0.010000 0.077375 175.000000 0.000000 0.001104 0.007118 0.006190
alpha2 0.010000 0.077375 180.000000 0.000000 0.001104 0.007118 0.006190
alpha2 0.010000 0.077375 185.000000 0.000000 0.001104 0.007118 0.006190
alpha2 0.010000 0.077375 190.000000 0.000000 0.001104 0.007118 0.006190
alpha2 0.010000 0.077375 195.000000 0.000000 0.001104 0.007118 0.006190
alpha2 0.010000 0.077375 200.000000 0.000000 0.001104 0.007118 0.006190
alpha2 0.010000 0.077375 205.000000 0.000000 0.001104 0.007118 0.006190
alpha2 0.010000 0.077375 210.000000 0.000000 0.001104 0.007118 0.006190
alpha2 0.010000 0.077375 215.000000 0.000000 0.001104 0.007118 0.006190
alpha2 0.010000 0.077375 220.000000 0.000000 0.001104 0.007118 0.006190
alpha2 0.010000 0.077375 225.000000 0.000000 0.001104 0.007118 0.006190
alpha2 0.010000 0.077375 230.000000 0.000000 0.001104 0.007118 0.006190
alpha2 0.010000 0.077375 235.000000 0.000000 0.001104 0.007118 0.006190
alpha2 0.010000 0.077375 240.000000 0.000000 0.001104 0.007118 0.006190
alpha2 0.010000 0.077375 245.000000 0.000000 0.001104 0.007118 0.006190
alpha2 0.010000 0.077375 250.000000 0.000000 0.001104 0.007118 0.006190
alpha2 0.010000 0.077375 255.000000 0.000000 0.001104 0.007118 0.006190
alpha2 0.010000 0.077375 260.000000 0.000000 0.001104 0.007118 0.006190
alpha2 0.010000 0.077375 265.000000 0.000000 0.001104 0.007118 0.006190
alpha2 0.010000 0.077375 270.000000 0.000000 0.001104 0.007118 0.006190
alpha2 0.010000 0.077375 275.000000 0.000000 0.001104 0.007118 0.006190
alpha2 0.010000 0.077375 280.000000 0.000000 0.001104 0.007118 0.006190
alpha2 0.010000 0.077375 285.000000 0.000000 0.001104 0.007118 0.006190
alpha2 0.010000 0.077375 290.000000 0.000000 0.001104 0.007118 0.006190
alpha2 0.010000 0.077375 295.000000 0.000000 0.001104 0.007118 0.006190
alpha2 0.010000 0.077375 300.000000 2.000000 0.001104 0.007118 0.006190
alpha2 0.010000 0.077375 305.000000 2.000000 0.193226 0.044451 0.006316
alpha2 0.010000 0.077375 310.000000 2.000000 0.358587 0.146550 0.007147
alpha2 0.010000 0.077375 315.000000 2.000000 0.500915 0.300320 0.009250
alpha2 0.010000 0.077375 320.000000 2.000000 0.623417 0.494725 0.013069
alpha2 0.010000 0.077375 325.000000 2.000000 0.728856 0.720493 0.018940
alpha2 0.010000 0.077375 330.000000 2.000000 0.819608 0.969852 0.027113
alpha2 0.010000 0.077375 335.000000 2.000000 0.897719 1.236310 0.037761
alpha2 0.010000 0.077375 340.000000 2.000000 0.964950 1.514467 0.051000
alpha2 0.010000 0.077375 345.000000 2.000000 1.022816 1.799850 0.066891
alpha2 0.010000 0.077375 350.000000 2.000000 1.072621 2.088776 0.085459
alpha2 0.010000 0.077375 355.000000 2.000000 1.115490 2.378230 0.106693
alpha2 0.010000 0.077375 360.000000 2.000000 1.152387 2.665764 0.130554
alpha2 0.010000 0.077375 365.000000 2.000000 1.184144 2.949410 0.156982
alpha2 0.010000 0.077375 370.000000 2.000000 1.211478 3.227602 0.185903
alpha2 0.010000 0.077375 375.000000 2.000000 1.235004 3.499118 0.217227
alpha2 0.010000 0.077375 380.000000 2.000000 1.255254 3.763019 0.250855
alpha2 0.010000 0.077375 385.000000 2.000000 1.272683 4.018607 0.286682
alpha2 0.010000 0.077375 390.000000 2.000000 1.287684 4.265384 0.324596
