HEADER DATE 31-Jul-2017 20:01:01
HEADER RANDSEED 1742156394
Param True_Value Sim_Value Sim_Time Input mRNA foldedP fluo
alpha2 0.010000 0.035596 0.000000 0.000000 0.001104 0.003275 0.002848
alpha2 0.010000 0.035596 5.000000 0.000000 0.001104 0.003275 0.002848
alpha2 0.010000 0.035596 10.000000 0.000000 0.001104 0.003275 0.002848
alpha2 0.010000 0.035596 15.000000 0.000000 0.001104 0.003275 0.002848
alpha2 0.010000 0.035596 20.000000 0.000000 0.001104 0.003275 0.002848
alpha2 0.010000 0.035596 25.000000 0.000000 0.001104 0.003275 0.002848
alpha2 0.010000 0.035596 30.000000 0.000000 0.001104 0.003275 0.002848
alpha2 0.010000 0.035596 35.000000 0.000000 0.001104 0.003275 0.002848
alpha2 0.010000 0.035596 40.000000 0.000000 0.001104 0.003275 0.002848
alpha2 0.010000 0.035596 45.000000 0.000000 0.001104 0.003275 0.002848
alpha2 0.010000 0.035596 50.000000 0.000000 0.001104 0.003275 0.002848
alpha2 0.010000 0.035596 55.000000 0.000000 0.001104 0.003275 0.002848
alpha2 0.010000 0.035596 60.000000 0.000000 0.001104 0.003275 0.002848
alpha2 0.010000 0.035596 65.000000 0.000000 0.001104 0.003275 0.002848
alpha2 0.010000 0.035596 70.000000 0.000000 0.001104 0.003275 0.002848
alpha2 0.010000 0.035596 75.000000 0.000000 0.001104 0.003275 0.002848
alpha2 0.010000 0.035596 80.000000 0.000000 0.001104 0.003275 0.002848
alpha2 0.010000 0.035596 85.000000 0.000000 0.001104 0.003275 0.002848
alpha2 0.010000 0.035596 90.000000 0.000000 0.001104 0.003275 0.002848
alpha2 0.010000 0.035596 95.000000 0.000000 0.001104 0.003275 0.002848
alpha2 0.010000 0.035596 100.000000 0.000000 0.001104 0.003275 0.002848
alpha2 0.010000 0.035596 105.000000 0.000000 0.001104 0.003275 0.002848
alpha2 0.010000 0.035596 110.000000 0.000000 0.001104 0.003275 0.002848
alpha2 0.010000 0.035596 115.000000 0.000000 0.001104 0.003275 0.002848
alpha2 0.010000 0.035596 120.000000 0.000000 0.001104 0.003275 0.002848
alpha2 0.010000 0.035596 125.000000 0.000000 0.001104 0.003275 0.002848
alpha2 0.010000 0.035596 130.000000 0.000000 0.001104 0.003275 0.002848
alpha2 0.010000 0.035596 135.000000 0.000000 0.001104 0.003275 0.002848
alpha2 0.010000 0.035596 140.000000 0.000000 0.001104 0.003275 0.002848
alpha2 0.010000 0.035596 145.000000 0.000000 0.001104 0.003275 0.002848
alpha2 0.010000 0.035596 150.000000 0.000000 0.001104 0.003275 0.002848
alpha2 0.010000 0.035596 155.000000 0.000000 0.001104 0.003275 0.002848
alpha2 0.010000 0.035596 160.000000 0.000000 0.001104 0.003275 0.002848
alpha2 0.010000 0.035596 165.000000 0.000000 0.001104 0.003275 0.002848
alpha2 0.010000 0.035596 170.000000 0.000000 0.001104 0.003275 0.002848
alpha2 0.010000 0.035596 175.000000 0.000000 0.001104 0.003275 0.002848
alpha2 0.010000 0.035596 180.000000 0.000000 0.001104 0.003275 0.002848
alpha2 0.010000 0.035596 185.000000 0.000000 0.001104 0.003275 0.002848
alpha2 0.010000 0.035596 190.000000 0.000000 0.001104 0.003275 0.002848
alpha2 0.010000 0.035596 195.000000 0.000000 0.001104 0.003275 0.002848
alpha2 0.010000 0.035596 200.000000 0.000000 0.001104 0.003275 0.002848
alpha2 0.010000 0.035596 205.000000 0.000000 0.001104 0.003275 0.002848
alpha2 0.010000 0.035596 210.000000 0.000000 0.001104 0.003275 0.002848
alpha2 0.010000 0.035596 215.000000 0.000000 0.001104 0.003275 0.002848
alpha2 0.010000 0.035596 220.000000 0.000000 0.001104 0.003275 0.002848
alpha2 0.010000 0.035596 225.000000 0.000000 0.001104 0.003275 0.002848
alpha2 0.010000 0.035596 230.000000 0.000000 0.001104 0.003275 0.002848
alpha2 0.010000 0.035596 235.000000 0.000000 0.001104 0.003275 0.002848
alpha2 0.010000 0.035596 240.000000 0.000000 0.001104 0.003275 0.002848
alpha2 0.010000 0.035596 245.000000 0.000000 0.001104 0.003275 0.002848
alpha2 0.010000 0.035596 250.000000 0.000000 0.001104 0.003275 0.002848
alpha2 0.010000 0.035596 255.000000 0.000000 0.001104 0.003275 0.002848
alpha2 0.010000 0.035596 260.000000 0.000000 0.001104 0.003275 0.002848
alpha2 0.010000 0.035596 265.000000 0.000000 0.001104 0.003275 0.002848
alpha2 0.010000 0.035596 270.000000 0.000000 0.001104 0.003275 0.002848
alpha2 0.010000 0.035596 275.000000 0.000000 0.001104 0.003275 0.002848
alpha2 0.010000 0.035596 280.000000 0.000000 0.001104 0.003275 0.002848
alpha2 0.010000 0.035596 285.000000 0.000000 0.001104 0.003275 0.002848
alpha2 0.010000 0.035596 290.000000 0.000000 0.001104 0.003275 0.002848
alpha2 0.010000 0.035596 295.000000 0.000000 0.001104 0.003275 0.002848
alpha2 0.010000 0.035596 300.000000 2.000000 0.001104 0.003275 0.002848
alpha2 0.010000 0.035596 305.000000 2.000000 0.193226 0.020450 0.002906
alpha2 0.010000 0.035596 310.000000 2.000000 0.358587 0.067420 0.003288
alpha2 0.010000 0.035596 315.000000 2.000000 0.500914 0.138161 0.004255
alpha2 0.010000 0.035596 320.000000 2.000000 0.623417 0.227596 0.006012
alpha2 0.010000 0.035596 325.000000 2.000000 0.728856 0.331459 0.008713
alpha2 0.010000 0.035596 330.000000 2.000000 0.819608 0.446175 0.012473
alpha2 0.010000 0.035596 335.000000 2.000000 0.897719 0.568758 0.017372
alpha2 0.010000 0.035596 340.000000 2.000000 0.964950 0.696722 0.023462
alpha2 0.010000 0.035596 345.000000 2.000000 1.022816 0.828011 0.030773
alpha2 0.010000 0.035596 350.000000 2.000000 1.072621 0.960930 0.039315
alpha2 0.010000 0.035596 355.000000 2.000000 1.115490 1.094091 0.049083
alpha2 0.010000 0.035596 360.000000 2.000000 1.152387 1.226370 0.060060
alpha2 0.010000 0.035596 365.000000 2.000000 1.184144 1.356859 0.072219
alpha2 0.010000 0.035596 370.000000 2.000000 1.211478 1.484840 0.085524
alpha2 0.010000 0.035596 375.000000 2.000000 1.235005 1.609749 0.099934
alpha2 0.010000 0.035596 380.000000 2.000000 1.255254 1.731156 0.115405
alpha2 0.010000 0.035596 385.000000 2.000000 1.272683 1.848738 0.131886
alpha2 0.010000 0.035596 390.000000 2.000000 1.287684 1.962266 0.149329
alpha2 0.010000 0.035596 395.000000 2.000000 1.300596 2.071588 0.167680
alpha2 0.010000 0.035596 400.000000 2.000000 1.311709 2.176612 0.186886
alpha2 0.010000 0.035596 405.000000 2.000000 1.321274 2.277302 0.206896
alpha2 0.010000 0.035596 410.000000 2.000000 1.329507 2.373662 0.227656
alpha2 0.010000 0.035596 415.000000 2.000000 1.336593 2.465729 0.249116
alpha2 0.010000 0.035596 420.000000 2.000000 1.342692 2.553571 0.271225
alpha2 0.010000 0.035596 425.000000 2.000000 1.347942 2.637275 0.293933
alpha2 0.010000 0.035596 430.000000 2.000000 1.352460 2.716946 0.317194
alpha2 0.010000 0.035596 435.000000 2.000000 1.356349 2.792701 0.340962
alpha2 0.010000 0.035596 440.000000 2.000000 1.359696 2.864668 0.365192
alpha2 0.010000 0.035596 445.000000 2.000000 1.362577 2.932981 0.389842
alpha2 0.010000 0.035596 450.000000 2.000000 1.365057 2.997777 0.414872
alpha2 0.010000 0.035596 455.000000 2.000000 1.367191 3.059197 0.440243
alpha2 0.010000 0.035596 460.000000 2.000000 1.369028 3.117383 0.465918
alpha2 0.010000 0.035596 465.000000 2.000000 1.370609 3.172474 0.491863
alpha2 0.010000 0.035596 470.000000 2.000000 1.371970 3.224611 0.518044
alpha2 0.010000 0.035596 475.000000 2.000000 1.373141 3.273930 0.544430
alpha2 0.010000 0.035596 480.000000 2.000000 1.374149 3.320564 0.570991
alpha2 0.010000 0.035596 485.000000 2.000000 1.375017 3.364644 0.597699
alpha2 0.010000 0.035596 490.000000 2.000000 1.375764 3.406296 0.624528
alpha2 0.010000 0.035596 495.000000 2.000000 1.376407 3.445642 0.651453
alpha2 0.010000 0.035596 500.000000 2.000000 1.376960 3.482800 0.678450
alpha2 0.010000 0.035596 505.000000 2.000000 1.377436 3.517883 0.705498
alpha2 0.010000 0.035596 510.000000 2.000000 1.377846 3.550999 0.732575
alpha2 0.010000 0.035596 515.000000 2.000000 1.378199 3.582252 0.759662
alpha2 0.010000 0.035596 520.000000 2.000000 1.378503 3.611742 0.786742
alpha2 0.010000 0.035596 525.000000 2.000000 1.378764 3.639563 0.813796
alpha2 0.010000 0.035596 530.000000 2.000000 1.378989 3.665805 0.840810
alpha2 0.010000 0.035596 535.000000 2.000000 1.379183 3.690556 0.867769
alpha2 0.010000 0.035596 540.000000 2.000000 1.379349 3.713896 0.894658
alpha2 0.010000 0.035596 545.000000 2.000000 1.379493 3.735904 0.921466
alpha2 0.010000 0.035596 550.000000 2.000000 1.379616 3.756653 0.948179
alpha2 0.010000 0.035596 555.000000 2.000000 1.379723 3.776213 0.974787
alpha2 0.010000 0.035596 560.000000 2.000000 1.379814 3.794652 1.001280
alpha2 0.010000 0.035596 565.000000 2.000000 1.379893 3.812031 1.027648
alpha2 0.010000 0.035596 570.000000 2.000000 1.379960 3.828411 1.053882
alpha2 0.010000 0.035596 575.000000 2.000000 1.380019 3.843848 1.079974
alpha2 0.010000 0.035596 580.000000 2.000000 1.380069 3.858395 1.105917
alpha2 0.010000 0.035596 585.000000 2.000000 1.380112 3.872103 1.131704
alpha2 0.010000 0.035596 590.000000 2.000000 1.380149 3.885019 1.157328
alpha2 0.010000 0.035596 595.000000 2.000000 1.380181 3.897190 1.182784
alpha2 0.010000 0.035596 600.000000 2.000000 1.380209 3.908657 1.208066
alpha2 0.010000 0.035596 605.000000 2.000000 1.380233 3.919460 1.233170
alpha2 0.010000 0.035596 610.000000 2.000000 1.380253 3.929638 1.258091
alpha2 0.010000 0.035596 615.000000 2.000000 1.380271 3.939227 1.282825
alpha2 0.010000 0.035596 620.000000 2.000000 1.380286 3.948260 1.307369
alpha2 0.010000 0.035596 625.000000 2.000000 1.380299 3.956769 1.331720
alpha2 0.010000 0.035596 630.000000 2.000000 1.380310 3.964785 1.355874
alpha2 0.010000 0.035596 635.000000 2.000000 1.380320 3.972336 1.379830
alpha2 0.010000 0.035596 640.000000 2.000000 1.380328 3.979449 1.403584
alpha2 0.010000 0.035596 645.000000 2.000000 1.380335 3.986149 1.427136
