HEADER DATE 31-Jul-2017 20:08:33
HEADER RANDSEED 1742201637
Param True_Value Sim_Value Sim_Time Input mRNA foldedP fluo
alpha2 0.010000 0.086295 0.000000 0.000000 0.001104 0.007939 0.006904
alpha2 0.010000 0.086295 5.000000 0.000000 0.001104 0.007939 0.006904
alpha2 0.010000 0.086295 10.000000 0.000000 0.001104 0.007939 0.006904
alpha2 0.010000 0.086295 15.000000 0.000000 0.001104 0.007939 0.006904
alpha2 0.010000 0.086295 20.000000 0.000000 0.001104 0.007939 0.006904
alpha2 0.010000 0.086295 25.000000 0.000000 0.001104 0.007939 0.006904
alpha2 0.010000 0.086295 30.000000 0.000000 0.001104 0.007939 0.006904
alpha2 0.010000 0.086295 35.000000 0.000000 0.001104 0.007939 0.006904
alpha2 0.010000 0.086295 40.000000 0.000000 0.001104 0.007939 0.006904
alpha2 0.010000 0.086295 45.000000 0.000000 0.001104 0.007939 0.006904
alpha2 0.010000 0.086295 50.000000 0.000000 0.001104 0.007939 0.006904
alpha2 0.010000 0.086295 55.000000 0.000000 0.001104 0.007939 0.006904
alpha2 0.010000 0.086295 60.000000 0.000000 0.001104 0.007939 0.006904
alpha2 0.010000 0.086295 65.000000 0.000000 0.001104 0.007939 0.006904
alpha2 0.010000 0.086295 70.000000 0.000000 0.001104 0.007939 0.006904
alpha2 0.010000 0.086295 75.000000 0.000000 0.001104 0.007939 0.006904
alpha2 0.010000 0.086295 80.000000 0.000000 0.001104 0.007939 0.006904
alpha2 0.010000 0.086295 85.000000 0.000000 0.001104 0.007939 0.006904
alpha2 0.010000 0.086295 90.000000 0.000000 0.001104 0.007939 0.006904
alpha2 0.010000 0.086295 95.000000 0.000000 0.001104 0.007939 0.006904
alpha2 0.010000 0.086295 100.000000 0.000000 0.001104 0.007939 0.006904
alpha2 0.010000 0.086295 105.000000 0.000000 0.001104 0.007939 0.006904
alpha2 0.010000 0.086295 110.000000 0.000000 0.001104 0.007939 0.006904
alpha2 0.010000 0.086295 115.000000 0.000000 0.001104 0.007939 0.006904
alpha2 0.010000 0.086295 120.000000 0.000000 0.001104 0.007939 0.006904
alpha2 0.010000 0.086295 125.000000 0.000000 0.001104 0.007939 0.006904
alpha2 0.010000 0.086295 130.000000 0.000000 0.001104 0.007939 0.006904
alpha2 0.010000 0.086295 135.000000 0.000000 0.001104 0.007939 0.006904
alpha2 0.010000 0.086295 140.000000 0.000000 0.001104 0.007939 0.006904
alpha2 0.010000 0.086295 145.000000 0.000000 0.001104 0.007939 0.006904
alpha2 0.010000 0.086295 150.000000 0.000000 0.001104 0.007939 0.006904
alpha2 0.010000 0.086295 155.000000 0.000000 0.001104 0.007939 0.006904
alpha2 0.010000 0.086295 160.000000 0.000000 0.001104 0.007939 0.006904
alpha2 0.010000 0.086295 165.000000 0.000000 0.001104 0.007939 0.006904
alpha2 0.010000 0.086295 170.000000 0.000000 0.001104 0.007939 0.006904
alpha2 0.010000 0.086295 175.000000 0.000000 0.001104 0.007939 0.006904
alpha2 0.010000 0.086295 180.000000 0.000000 0.001104 0.007939 0.006904
alpha2 0.010000 0.086295 185.000000 0.000000 0.001104 0.007939 0.006904
