HEADER DATE 31-Jul-2017 19:22:22
HEADER RANDSEED 1741924588
Param True_Value Sim_Value Sim_Time Input mRNA foldedP fluo
alpha1 0.000033 0.000060 0.000000 0.000000 0.002007 0.001673 0.001455
alpha1 0.000033 0.000060 5.000000 0.000000 0.002007 0.001673 0.001455
alpha1 0.000033 0.000060 10.000000 0.000000 0.002007 0.001673 0.001455
alpha1 0.000033 0.000060 15.000000 0.000000 0.002007 0.001673 0.001455
alpha1 0.000033 0.000060 20.000000 0.000000 0.002007 0.001673 0.001455
alpha1 0.000033 0.000060 25.000000 0.000000 0.002007 0.001673 0.001455
alpha1 0.000033 0.000060 30.000000 0.000000 0.002007 0.001673 0.001455
alpha1 0.000033 0.000060 35.000000 0.000000 0.002007 0.001673 0.001455
alpha1 0.000033 0.000060 40.000000 0.000000 0.002007 0.001673 0.001455
alpha1 0.000033 0.000060 45.000000 0.000000 0.002007 0.001673 0.001455
alpha1 0.000033 0.000060 50.000000 0.000000 0.002007 0.001673 0.001455
alpha1 0.000033 0.000060 55.000000 0.000000 0.002007 0.001673 0.001455
alpha1 0.000033 0.000060 60.000000 0.000000 0.002007 0.001673 0.001455
alpha1 0.000033 0.000060 65.000000 0.000000 0.002007 0.001673 0.001455
alpha1 0.000033 0.000060 70.000000 0.000000 0.002007 0.001673 0.001455
alpha1 0.000033 0.000060 75.000000 0.000000 0.002007 0.001673 0.001455
alpha1 0.000033 0.000060 80.000000 0.000000 0.002007 0.001673 0.001455
alpha1 0.000033 0.000060 85.000000 0.000000 0.002007 0.001673 0.001455
alpha1 0.000033 0.000060 90.000000 0.000000 0.002007 0.001673 0.001455
alpha1 0.000033 0.000060 95.000000 0.000000 0.002007 0.001673 0.001455
alpha1 0.000033 0.000060 100.000000 0.000000 0.002007 0.001673 0.001455
alpha1 0.000033 0.000060 105.000000 0.000000 0.002007 0.001673 0.001455
alpha1 0.000033 0.000060 110.000000 0.000000 0.002007 0.001673 0.001455
alpha1 0.000033 0.000060 115.000000 0.000000 0.002007 0.001673 0.001455
alpha1 0.000033 0.000060 120.000000 0.000000 0.002007 0.001673 0.001455
alpha1 0.000033 0.000060 125.000000 0.000000 0.002007 0.001673 0.001455
alpha1 0.000033 0.000060 130.000000 0.000000 0.002007 0.001673 0.001455
alpha1 0.000033 0.000060 135.000000 0.000000 0.002007 0.001673 0.001455
alpha1 0.000033 0.000060 140.000000 0.000000 0.002007 0.001673 0.001455
alpha1 0.000033 0.000060 145.000000 0.000000 0.002007 0.001673 0.001455
alpha1 0.000033 0.000060 150.000000 0.000000 0.002007 0.001673 0.001455
alpha1 0.000033 0.000060 155.000000 0.000000 0.002007 0.001673 0.001455
alpha1 0.000033 0.000060 160.000000 0.000000 0.002007 0.001673 0.001455
alpha1 0.000033 0.000060 165.000000 0.000000 0.002007 0.001673 0.001455
alpha1 0.000033 0.000060 170.000000 0.000000 0.002007 0.001673 0.001455
alpha1 0.000033 0.000060 175.000000 0.000000 0.002007 0.001673 0.001455
alpha1 0.000033 0.000060 180.000000 0.000000 0.002007 0.001673 0.001455
alpha1 0.000033 0.000060 185.000000 0.000000 0.002007 0.001673 0.001455
alpha1 0.000033 0.000060 190.000000 0.000000 0.002007 0.001673 0.001455
alpha1 0.000033 0.000060 195.000000 0.000000 0.002007 0.001673 0.001455
alpha1 0.000033 0.000060 200.000000 0.000000 0.002007 0.001673 0.001455
alpha1 0.000033 0.000060 205.000000 0.000000 0.002007 0.001673 0.001455
alpha1 0.000033 0.000060 210.000000 0.000000 0.002007 0.001673 0.001455
alpha1 0.000033 0.000060 215.000000 0.000000 0.002007 0.001673 0.001455
alpha1 0.000033 0.000060 220.000000 0.000000 0.002007 0.001673 0.001455
alpha1 0.000033 0.000060 225.000000 0.000000 0.002007 0.001673 0.001455
alpha1 0.000033 0.000060 230.000000 0.000000 0.002007 0.001673 0.001455
alpha1 0.000033 0.000060 235.000000 0.000000 0.002007 0.001673 0.001455
alpha1 0.000033 0.000060 240.000000 0.000000 0.002007 0.001673 0.001455
alpha1 0.000033 0.000060 245.000000 0.000000 0.002007 0.001673 0.001455
alpha1 0.000033 0.000060 250.000000 0.000000 0.002007 0.001673 0.001455
alpha1 0.000033 0.000060 255.000000 0.000000 0.002007 0.001673 0.001455
alpha1 0.000033 0.000060 260.000000 0.000000 0.002007 0.001673 0.001455
alpha1 0.000033 0.000060 265.000000 0.000000 0.002007 0.001673 0.001455
alpha1 0.000033 0.000060 270.000000 0.000000 0.002007 0.001673 0.001455
alpha1 0.000033 0.000060 275.000000 0.000000 0.002007 0.001673 0.001455
