HEADER DATE 31-Jul-2017 19:27:13
HEADER RANDSEED 1741953607
Param True_Value Sim_Value Sim_Time Input mRNA foldedP fluo
alpha1 0.000033 0.000234 0.000000 0.000000 0.007811 0.006509 0.005660
alpha1 0.000033 0.000234 5.000000 0.000000 0.007811 0.006509 0.005660
alpha1 0.000033 0.000234 10.000000 0.000000 0.007811 0.006509 0.005660
alpha1 0.000033 0.000234 15.000000 0.000000 0.007811 0.006509 0.005660
alpha1 0.000033 0.000234 20.000000 0.000000 0.007811 0.006509 0.005660
alpha1 0.000033 0.000234 25.000000 0.000000 0.007811 0.006509 0.005660
alpha1 0.000033 0.000234 30.000000 0.000000 0.007811 0.006509 0.005660
alpha1 0.000033 0.000234 35.000000 0.000000 0.007811 0.006509 0.005660
alpha1 0.000033 0.000234 40.000000 0.000000 0.007811 0.006509 0.005660
alpha1 0.000033 0.000234 45.000000 0.000000 0.007811 0.006509 0.005660
alpha1 0.000033 0.000234 50.000000 0.000000 0.007811 0.006509 0.005660
alpha1 0.000033 0.000234 55.000000 0.000000 0.007811 0.006509 0.005660
alpha1 0.000033 0.000234 60.000000 0.000000 0.007811 0.006509 0.005660
alpha1 0.000033 0.000234 65.000000 0.000000 0.007811 0.006509 0.005660
alpha1 0.000033 0.000234 70.000000 0.000000 0.007811 0.006509 0.005660
alpha1 0.000033 0.000234 75.000000 0.000000 0.007811 0.006509 0.005660
alpha1 0.000033 0.000234 80.000000 0.000000 0.007811 0.006509 0.005660
alpha1 0.000033 0.000234 85.000000 0.000000 0.007811 0.006509 0.005660
alpha1 0.000033 0.000234 90.000000 0.000000 0.007811 0.006509 0.005660
alpha1 0.000033 0.000234 95.000000 0.000000 0.007811 0.006509 0.005660
alpha1 0.000033 0.000234 100.000000 0.000000 0.007811 0.006509 0.005660
alpha1 0.000033 0.000234 105.000000 0.000000 0.007811 0.006509 0.005660
alpha1 0.000033 0.000234 110.000000 0.000000 0.007811 0.006509 0.005660
alpha1 0.000033 0.000234 115.000000 0.000000 0.007811 0.006509 0.005660
