HEADER DATE 31-Jul-2017 20:01:30
HEADER RANDSEED 1742159378
Param True_Value Sim_Value Sim_Time Input mRNA foldedP fluo
alpha2 0.010000 0.092420 0.000000 0.000000 0.001104 0.008503 0.007394
alpha2 0.010000 0.092420 5.000000 0.000000 0.001104 0.008503 0.007394
alpha2 0.010000 0.092420 10.000000 0.000000 0.001104 0.008503 0.007394
alpha2 0.010000 0.092420 15.000000 0.000000 0.001104 0.008503 0.007394
alpha2 0.010000 0.092420 20.000000 0.000000 0.001104 0.008503 0.007394
alpha2 0.010000 0.092420 25.000000 0.000000 0.001104 0.008503 0.007394
alpha2 0.010000 0.092420 30.000000 0.000000 0.001104 0.008503 0.007394
alpha2 0.010000 0.092420 35.000000 0.000000 0.001104 0.008503 0.007394
alpha2 0.010000 0.092420 40.000000 0.000000 0.001104 0.008503 0.007394
alpha2 0.010000 0.092420 45.000000 0.000000 0.001104 0.008503 0.007394
alpha2 0.010000 0.092420 50.000000 0.000000 0.001104 0.008503 0.007394
alpha2 0.010000 0.092420 55.000000 0.000000 0.001104 0.008503 0.007394
alpha2 0.010000 0.092420 60.000000 0.000000 0.001104 0.008503 0.007394
alpha2 0.010000 0.092420 65.000000 0.000000 0.001104 0.008503 0.007394
alpha2 0.010000 0.092420 70.000000 0.000000 0.001104 0.008503 0.007394
alpha2 0.010000 0.092420 75.000000 0.000000 0.001104 0.008503 0.007394
alpha2 0.010000 0.092420 80.000000 0.000000 0.001104 0.008503 0.007394
alpha2 0.010000 0.092420 85.000000 0.000000 0.001104 0.008503 0.007394
alpha2 0.010000 0.092420 90.000000 0.000000 0.001104 0.008503 0.007394
alpha2 0.010000 0.092420 95.000000 0.000000 0.001104 0.008503 0.007394
alpha2 0.010000 0.092420 100.000000 0.000000 0.001104 0.008503 0.007394
alpha2 0.010000 0.092420 105.000000 0.000000 0.001104 0.008503 0.007394
alpha2 0.010000 0.092420 110.000000 0.000000 0.001104 0.008503 0.007394
alpha2 0.010000 0.092420 115.000000 0.000000 0.001104 0.008503 0.007394
alpha2 0.010000 0.092420 120.000000 0.000000 0.001104 0.008503 0.007394
alpha2 0.010000 0.092420 125.000000 0.000000 0.001104 0.008503 0.007394
alpha2 0.010000 0.092420 130.000000 0.000000 0.001104 0.008503 0.007394
alpha2 0.010000 0.092420 135.000000 0.000000 0.001104 0.008503 0.007394
alpha2 0.010000 0.092420 140.000000 0.000000 0.001104 0.008503 0.007394
alpha2 0.010000 0.092420 145.000000 0.000000 0.001104 0.008503 0.007394
alpha2 0.010000 0.092420 150.000000 0.000000 0.001104 0.008503 0.007394
alpha2 0.010000 0.092420 155.000000 0.000000 0.001104 0.008503 0.007394
alpha2 0.010000 0.092420 160.000000 0.000000 0.001104 0.008503 0.007394
alpha2 0.010000 0.092420 165.000000 0.000000 0.001104 0.008503 0.007394
alpha2 0.010000 0.092420 170.000000 0.000000 0.001104 0.008503 0.007394
alpha2 0.010000 0.092420 175.000000 0.000000 0.001104 0.008503 0.007394
alpha2 0.010000 0.092420 180.000000 0.000000 0.001104 0.008503 0.007394
alpha2 0.010000 0.092420 185.000000 0.000000 0.001104 0.008503 0.007394
alpha2 0.010000 0.092420 190.000000 0.000000 0.001104 0.008503 0.007394
alpha2 0.010000 0.092420 195.000000 0.000000 0.001104 0.008503 0.007394
alpha2 0.010000 0.092420 200.000000 0.000000 0.001104 0.008503 0.007394
alpha2 0.010000 0.092420 205.000000 0.000000 0.001104 0.008503 0.007394
alpha2 0.010000 0.092420 210.000000 0.000000 0.001104 0.008503 0.007394
alpha2 0.010000 0.092420 215.000000 0.000000 0.001104 0.008503 0.007394
alpha2 0.010000 0.092420 220.000000 0.000000 0.001104 0.008503 0.007394
alpha2 0.010000 0.092420 225.000000 0.000000 0.001104 0.008503 0.007394
alpha2 0.010000 0.092420 230.000000 0.000000 0.001104 0.008503 0.007394
