HEADER DATE 31-Jul-2017 19:22:04
HEADER RANDSEED 1741922735
Param True_Value Sim_Value Sim_Time Input mRNA foldedP fluo
alpha1 0.000033 0.000096 0.000000 0.000000 0.003204 0.002670 0.002322
alpha1 0.000033 0.000096 5.000000 0.000000 0.003204 0.002670 0.002322
alpha1 0.000033 0.000096 10.000000 0.000000 0.003204 0.002670 0.002322
alpha1 0.000033 0.000096 15.000000 0.000000 0.003204 0.002670 0.002322
alpha1 0.000033 0.000096 20.000000 0.000000 0.003204 0.002670 0.002322
alpha1 0.000033 0.000096 25.000000 0.000000 0.003204 0.002670 0.002322
alpha1 0.000033 0.000096 30.000000 0.000000 0.003204 0.002670 0.002322
alpha1 0.000033 0.000096 35.000000 0.000000 0.003204 0.002670 0.002322
alpha1 0.000033 0.000096 40.000000 0.000000 0.003204 0.002670 0.002322
alpha1 0.000033 0.000096 45.000000 0.000000 0.003204 0.002670 0.002322
alpha1 0.000033 0.000096 50.000000 0.000000 0.003204 0.002670 0.002322
alpha1 0.000033 0.000096 55.000000 0.000000 0.003204 0.002670 0.002322
alpha1 0.000033 0.000096 60.000000 0.000000 0.003204 0.002670 0.002322
alpha1 0.000033 0.000096 65.000000 0.000000 0.003204 0.002670 0.002322
alpha1 0.000033 0.000096 70.000000 0.000000 0.003204 0.002670 0.002322
alpha1 0.000033 0.000096 75.000000 0.000000 0.003204 0.002670 0.002322
alpha1 0.000033 0.000096 80.000000 0.000000 0.003204 0.002670 0.002322
alpha1 0.000033 0.000096 85.000000 0.000000 0.003204 0.002670 0.002322
alpha1 0.000033 0.000096 90.000000 0.000000 0.003204 0.002670 0.002322
alpha1 0.000033 0.000096 95.000000 0.000000 0.003204 0.002670 0.002322
alpha1 0.000033 0.000096 100.000000 0.000000 0.003204 0.002670 0.002322
alpha1 0.000033 0.000096 105.000000 0.000000 0.003204 0.002670 0.002322
alpha1 0.000033 0.000096 110.000000 0.000000 0.003204 0.002670 0.002322
alpha1 0.000033 0.000096 115.000000 0.000000 0.003204 0.002670 0.002322
alpha1 0.000033 0.000096 120.000000 0.000000 0.003204 0.002670 0.002322
alpha1 0.000033 0.000096 125.000000 0.000000 0.003204 0.002670 0.002322
alpha1 0.000033 0.000096 130.000000 0.000000 0.003204 0.002670 0.002322
alpha1 0.000033 0.000096 135.000000 0.000000 0.003204 0.002670 0.002322
alpha1 0.000033 0.000096 140.000000 0.000000 0.003204 0.002670 0.002322
alpha1 0.000033 0.000096 145.000000 0.000000 0.003204 0.002670 0.002322
alpha1 0.000033 0.000096 150.000000 0.000000 0.003204 0.002670 0.002322
alpha1 0.000033 0.000096 155.000000 0.000000 0.003204 0.002670 0.002322
alpha1 0.000033 0.000096 160.000000 0.000000 0.003204 0.002670 0.002322
alpha1 0.000033 0.000096 165.000000 0.000000 0.003204 0.002670 0.002322
alpha1 0.000033 0.000096 170.000000 0.000000 0.003204 0.002670 0.002322
alpha1 0.000033 0.000096 175.000000 0.000000 0.003204 0.002670 0.002322
alpha1 0.000033 0.000096 180.000000 0.000000 0.003204 0.002670 0.002322
alpha1 0.000033 0.000096 185.000000 0.000000 0.003204 0.002670 0.002322
alpha1 0.000033 0.000096 190.000000 0.000000 0.003204 0.002670 0.002322
alpha1 0.000033 0.000096 195.000000 0.000000 0.003204 0.002670 0.002322
alpha1 0.000033 0.000096 200.000000 0.000000 0.003204 0.002670 0.002322
alpha1 0.000033 0.000096 205.000000 0.000000 0.003204 0.002670 0.002322
alpha1 0.000033 0.000096 210.000000 0.000000 0.003204 0.002670 0.002322
alpha1 0.000033 0.000096 215.000000 0.000000 0.003204 0.002670 0.002322
alpha1 0.000033 0.000096 220.000000 0.000000 0.003204 0.002670 0.002322
alpha1 0.000033 0.000096 225.000000 0.000000 0.003204 0.002670 0.002322
alpha1 0.000033 0.000096 230.000000 0.000000 0.003204 0.002670 0.002322
alpha1 0.000033 0.000096 235.000000 0.000000 0.003204 0.002670 0.002322
alpha1 0.000033 0.000096 240.000000 0.000000 0.003204 0.002670 0.002322
alpha1 0.000033 0.000096 245.000000 0.000000 0.003204 0.002670 0.002322
alpha1 0.000033 0.000096 250.000000 0.000000 0.003204 0.002670 0.002322
alpha1 0.000033 0.000096 255.000000 0.000000 0.003204 0.002670 0.002322
alpha1 0.000033 0.000096 260.000000 0.000000 0.003204 0.002670 0.002322
alpha1 0.000033 0.000096 265.000000 0.000000 0.003204 0.002670 0.002322
alpha1 0.000033 0.000096 270.000000 0.000000 0.003204 0.002670 0.002322
alpha1 0.000033 0.000096 275.000000 0.000000 0.003204 0.002670 0.002322
alpha1 0.000033 0.000096 280.000000 0.000000 0.003204 0.002670 0.002322
alpha1 0.000033 0.000096 285.000000 0.000000 0.003204 0.002670 0.002322
alpha1 0.000033 0.000096 290.000000 0.000000 0.003204 0.002670 0.002322
alpha1 0.000033 0.000096 295.000000 0.000000 0.003204 0.002670 0.002322
alpha1 0.000033 0.000096 300.000000 2.000000 0.003204 0.002670 0.002322
alpha1 0.000033 0.000096 305.000000 2.000000 0.195326 0.007495 0.002338
alpha1 0.000033 0.000096 310.000000 2.000000 0.360686 0.020691 0.002445
alpha1 0.000033 0.000096 315.000000 2.000000 0.503014 0.040564 0.002717
alpha1 0.000033 0.000096 320.000000 2.000000 0.625517 0.065689 0.003211
alpha1 0.000033 0.000096 325.000000 2.000000 0.730956 0.094867 0.003970
alpha1 0.000033 0.000096 330.000000 2.000000 0.821708 0.127095 0.005026
alpha1 0.000033 0.000096 335.000000 2.000000 0.899819 0.161532 0.006402
alpha1 0.000033 0.000096 340.000000 2.000000 0.967050 0.197481 0.008113
alpha1 0.000033 0.000096 345.000000 2.000000 1.024916 0.234365 0.010167
alpha1 0.000033 0.000096 350.000000 2.000000 1.074721 0.271706 0.012567
alpha1 0.000033 0.000096 355.000000 2.000000 1.117590 0.309115 0.015311
alpha1 0.000033 0.000096 360.000000 2.000000 1.154486 0.346277 0.018395
alpha1 0.000033 0.000096 365.000000 2.000000 1.186244 0.382935 0.021810
alpha1 0.000033 0.000096 370.000000 2.000000 1.213578 0.418889 0.025548
alpha1 0.000033 0.000096 375.000000 2.000000 1.237105 0.453980 0.029596
alpha1 0.000033 0.000096 380.000000 2.000000 1.257354 0.488087 0.033943
alpha1 0.000033 0.000096 385.000000 2.000000 1.274783 0.521120 0.038573
alpha1 0.000033 0.000096 390.000000 2.000000 1.289784 0.553014 0.043473
alpha1 0.000033 0.000096 395.000000 2.000000 1.302696 0.583726 0.048628
alpha1 0.000033 0.000096 400.000000 2.000000 1.313809 0.613230 0.054024
alpha1 0.000033 0.000096 405.000000 2.000000 1.323374 0.641517 0.059645
alpha1 0.000033 0.000096 410.000000 2.000000 1.331607 0.668588 0.065478
alpha1 0.000033 0.000096 415.000000 2.000000 1.338693 0.694453 0.071506
alpha1 0.000033 0.000096 420.000000 2.000000 1.344792 0.719130 0.077717
alpha1 0.000033 0.000096 425.000000 2.000000 1.350041 0.742645 0.084097
alpha1 0.000033 0.000096 430.000000 2.000000 1.354560 0.765028 0.090632
alpha1 0.000033 0.000096 435.000000 2.000000 1.358449 0.786310 0.097309
alpha1 0.000033 0.000096 440.000000 2.000000 1.361796 0.806528 0.104116
alpha1 0.000033 0.000096 445.000000 2.000000 1.364677 0.825719 0.111041
alpha1 0.000033 0.000096 450.000000 2.000000 1.367156 0.843922 0.118072
alpha1 0.000033 0.000096 455.000000 2.000000 1.369291 0.861177 0.125200
alpha1 0.000033 0.000096 460.000000 2.000000 1.371128 0.877523 0.132413
alpha1 0.000033 0.000096 465.000000 2.000000 1.372709 0.893000 0.139702
