HEADER DATE 27-Jul-2017 17:20:01
HEADER RANDSEED 1706630470
Param True_Value Sim_Value Sim_Time Input mRNA foldedP fluo
d1 0.030000 0.055866 0.000000 0.000000 0.000593 0.000494 0.000430
d1 0.030000 0.055866 5.000000 0.000000 0.000593 0.000494 0.000430
d1 0.030000 0.055866 10.000000 0.000000 0.000593 0.000494 0.000430
d1 0.030000 0.055866 15.000000 0.000000 0.000593 0.000494 0.000430
d1 0.030000 0.055866 20.000000 0.000000 0.000593 0.000494 0.000430
d1 0.030000 0.055866 25.000000 0.000000 0.000593 0.000494 0.000430
d1 0.030000 0.055866 30.000000 0.000000 0.000593 0.000494 0.000430
d1 0.030000 0.055866 35.000000 0.000000 0.000593 0.000494 0.000430
d1 0.030000 0.055866 40.000000 0.000000 0.000593 0.000494 0.000430
d1 0.030000 0.055866 45.000000 0.000000 0.000593 0.000494 0.000430
d1 0.030000 0.055866 50.000000 0.000000 0.000593 0.000494 0.000430
d1 0.030000 0.055866 55.000000 0.000000 0.000593 0.000494 0.000430
d1 0.030000 0.055866 60.000000 0.000000 0.000593 0.000494 0.000430
d1 0.030000 0.055866 65.000000 0.000000 0.000593 0.000494 0.000430
d1 0.030000 0.055866 70.000000 0.000000 0.000593 0.000494 0.000430
d1 0.030000 0.055866 75.000000 0.000000 0.000593 0.000494 0.000430
d1 0.030000 0.055866 80.000000 0.000000 0.000593 0.000494 0.000430
d1 0.030000 0.055866 85.000000 0.000000 0.000593 0.000494 0.000430
d1 0.030000 0.055866 90.000000 0.000000 0.000593 0.000494 0.000430
d1 0.030000 0.055866 95.000000 0.000000 0.000593 0.000494 0.000430
d1 0.030000 0.055866 100.000000 0.000000 0.000593 0.000494 0.000430
d1 0.030000 0.055866 105.000000 0.000000 0.000593 0.000494 0.000430
d1 0.030000 0.055866 110.000000 0.000000 0.000593 0.000494 0.000430
d1 0.030000 0.055866 115.000000 0.000000 0.000593 0.000494 0.000430
d1 0.030000 0.055866 120.000000 0.000000 0.000593 0.000494 0.000430
d1 0.030000 0.055866 125.000000 0.000000 0.000593 0.000494 0.000430
d1 0.030000 0.055866 130.000000 0.000000 0.000593 0.000494 0.000430
d1 0.030000 0.055866 135.000000 0.000000 0.000593 0.000494 0.000430
d1 0.030000 0.055866 140.000000 0.000000 0.000593 0.000494 0.000430
d1 0.030000 0.055866 145.000000 0.000000 0.000593 0.000494 0.000430
d1 0.030000 0.055866 150.000000 0.000000 0.000593 0.000494 0.000430
d1 0.030000 0.055866 155.000000 0.000000 0.000593 0.000494 0.000430
d1 0.030000 0.055866 160.000000 0.000000 0.000593 0.000494 0.000430
d1 0.030000 0.055866 165.000000 0.000000 0.000593 0.000494 0.000430
d1 0.030000 0.055866 170.000000 0.000000 0.000593 0.000494 0.000430
d1 0.030000 0.055866 175.000000 0.000000 0.000593 0.000494 0.000430
d1 0.030000 0.055866 180.000000 0.000000 0.000593 0.000494 0.000430
d1 0.030000 0.055866 185.000000 0.000000 0.000593 0.000494 0.000430
d1 0.030000 0.055866 190.000000 0.000000 0.000593 0.000494 0.000430
d1 0.030000 0.055866 195.000000 0.000000 0.000593 0.000494 0.000430
d1 0.030000 0.055866 200.000000 0.000000 0.000593 0.000494 0.000430
d1 0.030000 0.055866 205.000000 0.000000 0.000593 0.000494 0.000430
d1 0.030000 0.055866 210.000000 0.000000 0.000593 0.000494 0.000430
d1 0.030000 0.055866 215.000000 0.000000 0.000593 0.000494 0.000430
d1 0.030000 0.055866 220.000000 0.000000 0.000593 0.000494 0.000430
d1 0.030000 0.055866 225.000000 0.000000 0.000593 0.000494 0.000430
d1 0.030000 0.055866 230.000000 0.000000 0.000593 0.000494 0.000430
d1 0.030000 0.055866 235.000000 0.000000 0.000593 0.000494 0.000430
d1 0.030000 0.055866 240.000000 0.000000 0.000593 0.000494 0.000430
d1 0.030000 0.055866 245.000000 0.000000 0.000593 0.000494 0.000430
d1 0.030000 0.055866 250.000000 0.000000 0.000593 0.000494 0.000430
d1 0.030000 0.055866 255.000000 0.000000 0.000593 0.000494 0.000430
d1 0.030000 0.055866 260.000000 0.000000 0.000593 0.000494 0.000430
d1 0.030000 0.055866 265.000000 0.000000 0.000593 0.000494 0.000430
d1 0.030000 0.055866 270.000000 0.000000 0.000593 0.000494 0.000430
d1 0.030000 0.055866 275.000000 0.000000 0.000593 0.000494 0.000430
d1 0.030000 0.055866 280.000000 0.000000 0.000593 0.000494 0.000430
d1 0.030000 0.055866 285.000000 0.000000 0.000593 0.000494 0.000430
d1 0.030000 0.055866 290.000000 0.000000 0.000593 0.000494 0.000430
d1 0.030000 0.055866 295.000000 0.000000 0.000593 0.000494 0.000430
d1 0.030000 0.055866 300.000000 0.000000 0.000593 0.000494 0.000430
d1 0.030000 0.055866 305.000000 0.000000 0.000593 0.000494 0.000430
d1 0.030000 0.055866 310.000000 0.000000 0.000593 0.000494 0.000430
d1 0.030000 0.055866 315.000000 0.000000 0.000593 0.000494 0.000430
d1 0.030000 0.055866 320.000000 0.000000 0.000593 0.000494 0.000430
d1 0.030000 0.055866 325.000000 0.000000 0.000593 0.000494 0.000430
d1 0.030000 0.055866 330.000000 0.000000 0.000593 0.000494 0.000430
d1 0.030000 0.055866 335.000000 0.000000 0.000593 0.000494 0.000430
d1 0.030000 0.055866 340.000000 0.000000 0.000593 0.000494 0.000430
d1 0.030000 0.055866 345.000000 0.000000 0.000593 0.000494 0.000430
d1 0.030000 0.055866 350.000000 0.000000 0.000593 0.000494 0.000430
d1 0.030000 0.055866 355.000000 0.000000 0.000593 0.000494 0.000430
d1 0.030000 0.055866 360.000000 0.000000 0.000593 0.000494 0.000430
d1 0.030000 0.055866 365.000000 0.000000 0.000593 0.000494 0.000430
d1 0.030000 0.055866 370.000000 0.000000 0.000593 0.000494 0.000430
d1 0.030000 0.055866 375.000000 0.000000 0.000593 0.000494 0.000430
d1 0.030000 0.055866 380.000000 0.000000 0.000593 0.000494 0.000430
d1 0.030000 0.055866 385.000000 0.000000 0.000593 0.000494 0.000430
d1 0.030000 0.055866 390.000000 0.000000 0.000593 0.000494 0.000430
d1 0.030000 0.055866 395.000000 0.000000 0.000593 0.000494 0.000430
d1 0.030000 0.055866 400.000000 0.000000 0.000593 0.000494 0.000430
d1 0.030000 0.055866 405.000000 0.000000 0.000593 0.000494 0.000430
d1 0.030000 0.055866 410.000000 0.000000 0.000593 0.000494 0.000430
d1 0.030000 0.055866 415.000000 0.000000 0.000593 0.000494 0.000430
d1 0.030000 0.055866 420.000000 0.000000 0.000593 0.000494 0.000430
d1 0.030000 0.055866 425.000000 0.000000 0.000593 0.000494 0.000430
d1 0.030000 0.055866 430.000000 0.000000 0.000593 0.000494 0.000430
d1 0.030000 0.055866 435.000000 0.000000 0.000593 0.000494 0.000430
d1 0.030000 0.055866 440.000000 0.000000 0.000593 0.000494 0.000430
d1 0.030000 0.055866 445.000000 0.000000 0.000593 0.000494 0.000430
d1 0.030000 0.055866 450.000000 0.000000 0.000593 0.000494 0.000430
d1 0.030000 0.055866 455.000000 0.000000 0.000593 0.000494 0.000430
d1 0.030000 0.055866 460.000000 0.000000 0.000593 0.000494 0.000430
d1 0.030000 0.055866 465.000000 0.000000 0.000593 0.000494 0.000430
d1 0.030000 0.055866 470.000000 0.000000 0.000593 0.000494 0.000430
d1 0.030000 0.055866 475.000000 0.000000 0.000593 0.000494 0.000430
d1 0.030000 0.055866 480.000000 0.000000 0.000593 0.000494 0.000430
