Var1,CitrineAU_Stelling
0,1.79131214832569
0.48484848484848,3.58200725965853
1.33333333333333,7.02296493898286
2.18181818181818,9.73897397791643
3.03030303030303,11.8824654670021
3.87878787878788,13.5741233995784
4.72727272727273,14.9091910493993
5.57575757575757,15.9628352799794
6.42424242424243,16.7943782865032
7.27272727272727,17.4506375350896
8.12121212121212,17.9685616806308
8.96969696969697,18.3773106690604
9.81818181818182,18.6998978931663
10.6666666666667,18.9544860479306
11.5151515151515,19.1554087150151
12,19.2505852197021
12.3636363636364,19.3139782567368
13.2121212121212,19.4391224204227
14.0606060606061,19.5378870443139
14.9090909090909,19.6158327508221
15.7575757575758,19.6773480359893
16.6060606060606,19.7258963175992
17.4545454545455,19.7642109199316
18.3030303030303,19.7944488533122
19.1515151515151,19.8183128386823
20,19.8371465905066
20.8484848484849,19.8520103036998
21.6969696969697,19.8637408807619
22.5454545454545,19.872998758821
23.3939393939394,19.8803051442127
24,19.8845607032376
24.2424242424242,19.8860714039784
25.0909090909091,19.8906221841861
25.9393939393939,19.894213697884
26.7878787878788,19.8970481453305
27.6363636363636,19.8992850223631
28.4848484848485,19.9010502886308
29.3333333333333,19.9024434934519
30.1818181818182,19.9035431115543
31.030303030303,19.904410963953
31.8787878787879,19.9050958637953
32.7272727272727,19.9056363977709
33.5757575757576,19.9060630123235
34.4242424242424,19.9063997097144
35.2727272727273,19.9066654349249
36,19.9068481405808
36.1212121212121,19.9068751473877
36.969696969697,19.9070406537627
37.8181818181818,19.9071712533181
38.6666666666667,19.907274262368
39.5151515151515,19.9073555528342
40.3636363636364,19.9074197333213
41.2121212121212,19.9074704156373
42.0606060606061,19.9075104394055
42.9090909090909,19.9075420361539
43.7575757575758,19.9075669691253
44.6060606060606,19.9075866437208
45.4545454545455,19.9076021722003
46.3030303030303,19.9076144320181
47.1515151515151,19.9076241159398
48,19.9076317621686
