Var1,CitrineAU_Cross
0,1.51653055333643
0.48484848484848,3.80062943565375
1.33333333333333,7.88864937980483
2.18181818181818,11.1149422030019
3.03030303030303,13.6611533615624
3.87878787878788,15.6706389673079
4.72727272727273,17.2565376587389
5.57575757575757,18.5081394302499
6.42424242424243,19.4959117574497
7.27272727272727,20.2754681365572
8.12121212121212,20.8906991564077
8.96969696969697,21.3762435016197
9.81818181818182,21.7594382892445
10.6666666666667,22.061858123375
11.5151515151515,22.3005298416677
12,22.4135879298214
12.3636363636364,22.4888910694507
13.2121212121212,22.6375466296942
14.0606060606061,22.7548667370659
14.9090909090909,22.8474565941018
15.7575757575758,22.9205291674181
16.6060606060606,22.9781985446858
17.4545454545455,23.0237116152833
18.3030303030303,23.0596308540851
19.1515151515151,23.0879785683717
20,23.1103507790123
20.8484848484849,23.1280070840251
21.6969696969697,23.1419415259905
22.5454545454545,23.1529385133522
23.3939393939394,23.1616173378583
24,23.1666723730041
24.2424242424242,23.168466902598
25.0909090909091,23.1738726444952
25.9393939393939,23.1781388970905
26.7878787878788,23.1815058723975
27.6363636363636,23.1841631419991
28.4848484848485,23.1862602721212
29.3333333333333,23.1879153570453
30.1818181818182,23.1892215663243
31.030303030303,23.1902524418022
31.8787878787879,23.1910659636615
32.7272727272727,23.1917079100878
33.5757575757576,23.1922145104778
34.4242424242424,23.1926143891873
35.2727272727273,23.1929300482873
36,23.1931471020589
36.1212121212121,23.19317918844
36.969696969697,23.1933758001156
37.8181818181818,23.1935309657755
38.6666666666667,23.1936534390175
39.5151515151515,23.1937501104873
40.3636363636364,23.1938264078728
41.2121212121212,23.1938865861243
42.0606060606061,23.1939340546129
42.9090909090909,23.1939714214949
43.7575757575758,23.1940009296375
44.6060606060606,23.1940242265589
45.4545454545455,23.1940426436235
46.3030303030303,23.1940572431523
47.1515151515151,23.1940687922381
48,23.1940779243104
