HEADER DATE 01-Aug-2017 12:43:07
HEADER RANDSEED 1748169059
Param True_Value Sim_Value Sim_Time Input mRNA foldedP fluo
alpha2 0.010000 0.022750 0.000000 2.000000 1.380379 2.616957 2.275615
alpha2 0.010000 0.022750 5.000000 2.000000 1.380379 2.616957 2.275615
alpha2 0.010000 0.022750 10.000000 2.000000 1.380379 2.616957 2.275615
alpha2 0.010000 0.022750 15.000000 2.000000 1.380379 2.616957 2.275615
alpha2 0.010000 0.022750 20.000000 2.000000 1.380379 2.616957 2.275615
alpha2 0.010000 0.022750 25.000000 2.000000 1.380379 2.616957 2.275615
alpha2 0.010000 0.022750 30.000000 2.000000 1.380379 2.616957 2.275615
alpha2 0.010000 0.022750 35.000000 2.000000 1.380379 2.616957 2.275615
alpha2 0.010000 0.022750 40.000000 2.000000 1.380379 2.616957 2.275615
alpha2 0.010000 0.022750 45.000000 2.000000 1.380379 2.616957 2.275615
alpha2 0.010000 0.022750 50.000000 2.000000 1.380379 2.616957 2.275615
alpha2 0.010000 0.022750 55.000000 2.000000 1.380379 2.616957 2.275615
alpha2 0.010000 0.022750 60.000000 2.000000 1.380379 2.616957 2.275615
alpha2 0.010000 0.022750 65.000000 2.000000 1.380379 2.616957 2.275615
alpha2 0.010000 0.022750 70.000000 2.000000 1.380379 2.616957 2.275615
alpha2 0.010000 0.022750 75.000000 2.000000 1.380379 2.616957 2.275615
alpha2 0.010000 0.022750 80.000000 2.000000 1.380379 2.616957 2.275615
alpha2 0.010000 0.022750 85.000000 2.000000 1.380379 2.616957 2.275615
alpha2 0.010000 0.022750 90.000000 2.000000 1.380379 2.616957 2.275615
alpha2 0.010000 0.022750 95.000000 2.000000 1.380379 2.616957 2.275615
alpha2 0.010000 0.022750 100.000000 2.000000 1.380379 2.616957 2.275615
alpha2 0.010000 0.022750 105.000000 2.000000 1.380379 2.616957 2.275615
alpha2 0.010000 0.022750 110.000000 2.000000 1.380379 2.616957 2.275615
alpha2 0.010000 0.022750 115.000000 2.000000 1.380379 2.616957 2.275615
alpha2 0.010000 0.022750 120.000000 2.000000 1.380379 2.616957 2.275615
alpha2 0.010000 0.022750 125.000000 2.000000 1.380379 2.616957 2.275615
alpha2 0.010000 0.022750 130.000000 2.000000 1.380379 2.616957 2.275615
alpha2 0.010000 0.022750 135.000000 2.000000 1.380379 2.616957 2.275615
alpha2 0.010000 0.022750 140.000000 2.000000 1.380379 2.616957 2.275615
alpha2 0.010000 0.022750 145.000000 2.000000 1.380379 2.616957 2.275615
alpha2 0.010000 0.022750 150.000000 2.000000 1.380379 2.616957 2.275615
alpha2 0.010000 0.022750 155.000000 2.000000 1.380379 2.616957 2.275615
alpha2 0.010000 0.022750 160.000000 2.000000 1.380379 2.616957 2.275615
alpha2 0.010000 0.022750 165.000000 2.000000 1.380379 2.616957 2.275615
alpha2 0.010000 0.022750 170.000000 2.000000 1.380379 2.616957 2.275615
alpha2 0.010000 0.022750 175.000000 2.000000 1.380379 2.616957 2.275615
alpha2 0.010000 0.022750 180.000000 2.000000 1.380379 2.616957 2.275615
alpha2 0.010000 0.022750 185.000000 2.000000 1.380379 2.616957 2.275615
alpha2 0.010000 0.022750 190.000000 2.000000 1.380379 2.616957 2.275615
alpha2 0.010000 0.022750 195.000000 2.000000 1.380379 2.616957 2.275615
alpha2 0.010000 0.022750 200.000000 2.000000 1.380379 2.616957 2.275615
alpha2 0.010000 0.022750 205.000000 2.000000 1.380379 2.616957 2.275615
alpha2 0.010000 0.022750 210.000000 2.000000 1.380379 2.616957 2.275615
alpha2 0.010000 0.022750 215.000000 2.000000 1.380379 2.616957 2.275615
alpha2 0.010000 0.022750 220.000000 2.000000 1.380379 2.616957 2.275615
alpha2 0.010000 0.022750 225.000000 2.000000 1.380379 2.616957 2.275615
alpha2 0.010000 0.022750 230.000000 2.000000 1.380379 2.616957 2.275615
alpha2 0.010000 0.022750 235.000000 2.000000 1.380379 2.616957 2.275615
alpha2 0.010000 0.022750 240.000000 2.000000 1.380379 2.616957 2.275615
alpha2 0.010000 0.022750 245.000000 2.000000 1.380379 2.616957 2.275615
alpha2 0.010000 0.022750 250.000000 2.000000 1.380379 2.616957 2.275615
alpha2 0.010000 0.022750 255.000000 2.000000 1.380379 2.616957 2.275615
alpha2 0.010000 0.022750 260.000000 2.000000 1.380379 2.616957 2.275615
alpha2 0.010000 0.022750 265.000000 2.000000 1.380379 2.616957 2.275615
alpha2 0.010000 0.022750 270.000000 2.000000 1.380379 2.616957 2.275615
alpha2 0.010000 0.022750 275.000000 2.000000 1.380379 2.616957 2.275615
alpha2 0.010000 0.022750 280.000000 2.000000 1.380379 2.616957 2.275615
alpha2 0.010000 0.022750 285.000000 2.000000 1.380379 2.616957 2.275615
alpha2 0.010000 0.022750 290.000000 2.000000 1.380379 2.616957 2.275615
alpha2 0.010000 0.022750 295.000000 2.000000 1.380379 2.616957 2.275615
alpha2 0.010000 0.022750 300.000000 2.000000 1.380379 2.616957 2.275615
alpha2 0.010000 0.022750 305.000000 0.000000 1.188257 2.605981 2.275578
alpha2 0.010000 0.022750 310.000000 0.000000 1.022897 2.575961 2.275334
alpha2 0.010000 0.022750 315.000000 0.000000 0.880569 2.530749 2.274715
alpha2 0.010000 0.022750 320.000000 0.000000 0.758066 2.473589 2.273592
alpha2 0.010000 0.022750 325.000000 0.000000 0.652627 2.407209 2.271866
alpha2 0.010000 0.022750 330.000000 0.000000 0.561875 2.333892 2.269463
alpha2 0.010000 0.022750 335.000000 0.000000 0.483764 2.255548 2.266332
alpha2 0.010000 0.022750 340.000000 0.000000 0.416533 2.173764 2.262440
alpha2 0.010000 0.022750 345.000000 0.000000 0.358666 2.089855 2.257767
alpha2 0.010000 0.022750 350.000000 0.000000 0.308861 2.004904 2.252308
alpha2 0.010000 0.022750 355.000000 0.000000 0.265993 1.919798 2.246065
alpha2 0.010000 0.022750 360.000000 0.000000 0.229096 1.835256 2.239049
alpha2 0.010000 0.022750 365.000000 0.000000 0.197338 1.751858 2.231278
alpha2 0.010000 0.022750 370.000000 0.000000 0.170005 1.670063 2.222775
alpha2 0.010000 0.022750 375.000000 0.000000 0.146478 1.590231 2.213565
alpha2 0.010000 0.022750 380.000000 0.000000 0.126229 1.512638 2.203678
alpha2 0.010000 0.022750 385.000000 0.000000 0.108800 1.437489 2.193144
alpha2 0.010000 0.022750 390.000000 0.000000 0.093799 1.364931 2.181996
alpha2 0.010000 0.022750 395.000000 0.000000 0.080887 1.295062 2.170268
alpha2 0.010000 0.022750 400.000000 0.000000 0.069774 1.227939 2.157993
alpha2 0.010000 0.022750 405.000000 0.000000 0.060209 1.163586 2.145204
alpha2 0.010000 0.022750 410.000000 0.000000 0.051976 1.102001 2.131936
alpha2 0.010000 0.022750 415.000000 0.000000 0.044890 1.043159 2.118220
