HEADER DATE 01-Aug-2017 12:53:24
HEADER RANDSEED 1748230736
Param True_Value Sim_Value Sim_Time Input mRNA foldedP fluo
Kf 0.002000 0.011908 0.000000 2.000000 1.380379 0.630073 3.262202
Kf 0.002000 0.011908 5.000000 2.000000 1.380379 0.630073 3.262202
Kf 0.002000 0.011908 10.000000 2.000000 1.380379 0.630073 3.262202
Kf 0.002000 0.011908 15.000000 2.000000 1.380379 0.630073 3.262202
Kf 0.002000 0.011908 20.000000 2.000000 1.380379 0.630073 3.262202
Kf 0.002000 0.011908 25.000000 2.000000 1.380379 0.630073 3.262202
Kf 0.002000 0.011908 30.000000 2.000000 1.380379 0.630073 3.262202
Kf 0.002000 0.011908 35.000000 2.000000 1.380379 0.630073 3.262202
Kf 0.002000 0.011908 40.000000 2.000000 1.380379 0.630073 3.262202
Kf 0.002000 0.011908 45.000000 2.000000 1.380379 0.630073 3.262202
Kf 0.002000 0.011908 50.000000 2.000000 1.380379 0.630073 3.262202
Kf 0.002000 0.011908 55.000000 2.000000 1.380379 0.630073 3.262202
Kf 0.002000 0.011908 60.000000 2.000000 1.380379 0.630073 3.262202
Kf 0.002000 0.011908 65.000000 2.000000 1.380379 0.630073 3.262202
Kf 0.002000 0.011908 70.000000 2.000000 1.380379 0.630073 3.262202
Kf 0.002000 0.011908 75.000000 2.000000 1.380379 0.630073 3.262202
Kf 0.002000 0.011908 80.000000 2.000000 1.380379 0.630073 3.262202
Kf 0.002000 0.011908 85.000000 2.000000 1.380379 0.630073 3.262202
Kf 0.002000 0.011908 90.000000 2.000000 1.380379 0.630073 3.262202
Kf 0.002000 0.011908 95.000000 2.000000 1.380379 0.630073 3.262202
Kf 0.002000 0.011908 100.000000 2.000000 1.380379 0.630073 3.262202
Kf 0.002000 0.011908 105.000000 2.000000 1.380379 0.630073 3.262202
Kf 0.002000 0.011908 110.000000 2.000000 1.380379 0.630073 3.262202
Kf 0.002000 0.011908 115.000000 2.000000 1.380379 0.630073 3.262202
Kf 0.002000 0.011908 120.000000 2.000000 1.380379 0.630073 3.262202
Kf 0.002000 0.011908 125.000000 2.000000 1.380379 0.630073 3.262202
Kf 0.002000 0.011908 130.000000 2.000000 1.380379 0.630073 3.262202
Kf 0.002000 0.011908 135.000000 2.000000 1.380379 0.630073 3.262202
Kf 0.002000 0.011908 140.000000 2.000000 1.380379 0.630073 3.262202
Kf 0.002000 0.011908 145.000000 2.000000 1.380379 0.630073 3.262202
Kf 0.002000 0.011908 150.000000 2.000000 1.380379 0.630073 3.262202
Kf 0.002000 0.011908 155.000000 2.000000 1.380379 0.630073 3.262202
Kf 0.002000 0.011908 160.000000 2.000000 1.380379 0.630073 3.262202
Kf 0.002000 0.011908 165.000000 2.000000 1.380379 0.630073 3.262202
Kf 0.002000 0.011908 170.000000 2.000000 1.380379 0.630073 3.262202
Kf 0.002000 0.011908 175.000000 2.000000 1.380379 0.630073 3.262202
Kf 0.002000 0.011908 180.000000 2.000000 1.380379 0.630073 3.262202
Kf 0.002000 0.011908 185.000000 2.000000 1.380379 0.630073 3.262202
Kf 0.002000 0.011908 190.000000 2.000000 1.380379 0.630073 3.262202
Kf 0.002000 0.011908 195.000000 2.000000 1.380379 0.630073 3.262202
Kf 0.002000 0.011908 200.000000 2.000000 1.380379 0.630073 3.262202
Kf 0.002000 0.011908 205.000000 2.000000 1.380379 0.630073 3.262202
Kf 0.002000 0.011908 210.000000 2.000000 1.380379 0.630073 3.262202
Kf 0.002000 0.011908 215.000000 2.000000 1.380379 0.630073 3.262202
Kf 0.002000 0.011908 220.000000 2.000000 1.380379 0.630073 3.262202
Kf 0.002000 0.011908 225.000000 2.000000 1.380379 0.630073 3.262202
Kf 0.002000 0.011908 230.000000 2.000000 1.380379 0.630073 3.262202
Kf 0.002000 0.011908 235.000000 2.000000 1.380379 0.630073 3.262202
Kf 0.002000 0.011908 240.000000 2.000000 1.380379 0.630073 3.262202
Kf 0.002000 0.011908 245.000000 2.000000 1.380379 0.630073 3.262202
Kf 0.002000 0.011908 250.000000 2.000000 1.380379 0.630073 3.262202
Kf 0.002000 0.011908 255.000000 2.000000 1.380379 0.630073 3.262202
Kf 0.002000 0.011908 260.000000 2.000000 1.380379 0.630073 3.262202
Kf 0.002000 0.011908 265.000000 2.000000 1.380379 0.630073 3.262202
Kf 0.002000 0.011908 270.000000 2.000000 1.380379 0.630073 3.262202
Kf 0.002000 0.011908 275.000000 2.000000 1.380379 0.630073 3.262202
Kf 0.002000 0.011908 280.000000 2.000000 1.380379 0.630073 3.262202
Kf 0.002000 0.011908 285.000000 2.000000 1.380379 0.630073 3.262202
Kf 0.002000 0.011908 290.000000 2.000000 1.380379 0.630073 3.262202
Kf 0.002000 0.011908 295.000000 2.000000 1.380379 0.630073 3.262202
Kf 0.002000 0.011908 300.000000 2.000000 1.380379 0.630073 3.262202
Kf 0.002000 0.011908 305.000000 0.000000 1.188256 0.625328 3.262106
Kf 0.002000 0.011908 310.000000 0.000000 1.022896 0.612636 3.261484
Kf 0.002000 0.011908 315.000000 0.000000 0.880568 0.593999 3.259932
Kf 0.002000 0.011908 320.000000 0.000000 0.758066 0.571046 3.257160
Kf 0.002000 0.011908 325.000000 0.000000 0.652627 0.545093 3.252965
Kf 0.002000 0.011908 330.000000 0.000000 0.561875 0.517203 3.247220
Kf 0.002000 0.011908 335.000000 0.000000 0.483764 0.488221 3.239854
Kf 0.002000 0.011908 340.000000 0.000000 0.416534 0.458815 3.230840
Kf 0.002000 0.011908 345.000000 0.000000 0.358668 0.429508 3.220190
Kf 0.002000 0.011908 350.000000 0.000000 0.308862 0.400700 3.207939
Kf 0.002000 0.011908 355.000000 0.000000 0.265994 0.372694 3.194145
Kf 0.002000 0.011908 360.000000 0.000000 0.229097 0.345710 3.178881
Kf 0.002000 0.011908 365.000000 0.000000 0.197339 0.319906 3.162228
Kf 0.002000 0.011908 370.000000 0.000000 0.170006 0.295385 3.144275
Kf 0.002000 0.011908 375.000000 0.000000 0.146479 0.272207 3.125116
Kf 0.002000 0.011908 380.000000 0.000000 0.126230 0.250401 3.104844
Kf 0.002000 0.011908 385.000000 0.000000 0.108800 0.229969 3.083554
Kf 0.002000 0.011908 390.000000 0.000000 0.093799 0.210890 3.061338
Kf 0.002000 0.011908 395.000000 0.000000 0.080888 0.193133 3.038286
Kf 0.002000 0.011908 400.000000 0.000000 0.069775 0.176650 3.014485
Kf 0.002000 0.011908 405.000000 0.000000 0.060209 0.161390 2.990016
Kf 0.002000 0.011908 410.000000 0.000000 0.051977 0.147293 2.964958
Kf 0.002000 0.011908 415.000000 0.000000 0.044891 0.134297 2.939386
Kf 0.002000 0.011908 420.000000 0.000000 0.038792 0.122338 2.913367
Kf 0.002000 0.011908 425.000000 0.000000 0.033542 0.111353 2.886968
Kf 0.002000 0.011908 430.000000 0.000000 0.029024 0.101276 2.860247
Kf 0.002000 0.011908 435.000000 0.000000 0.025135 0.092047 2.833260
Kf 0.002000 0.011908 440.000000 0.000000 0.021788 0.083604 2.806059
Kf 0.002000 0.011908 445.000000 0.000000 0.018907 0.075890 2.778691
Kf 0.002000 0.011908 450.000000 0.000000 0.016427 0.068850 2.751200
Kf 0.002000 0.011908 455.000000 0.000000 0.014292 0.062432 2.723625
