HEADER DATE 01-Aug-2017 12:38:36
HEADER RANDSEED 1748141897
Param True_Value Sim_Value Sim_Time Input mRNA foldedP fluo
alpha2 0.010000 0.026121 0.000000 2.000000 1.380379 3.004693 2.612777
alpha2 0.010000 0.026121 5.000000 2.000000 1.380379 3.004693 2.612777
alpha2 0.010000 0.026121 10.000000 2.000000 1.380379 3.004693 2.612777
alpha2 0.010000 0.026121 15.000000 2.000000 1.380379 3.004693 2.612777
alpha2 0.010000 0.026121 20.000000 2.000000 1.380379 3.004693 2.612777
alpha2 0.010000 0.026121 25.000000 2.000000 1.380379 3.004693 2.612777
alpha2 0.010000 0.026121 30.000000 2.000000 1.380379 3.004693 2.612777
alpha2 0.010000 0.026121 35.000000 2.000000 1.380379 3.004693 2.612777
alpha2 0.010000 0.026121 40.000000 2.000000 1.380379 3.004693 2.612777
alpha2 0.010000 0.026121 45.000000 2.000000 1.380379 3.004693 2.612777
alpha2 0.010000 0.026121 50.000000 2.000000 1.380379 3.004693 2.612777
alpha2 0.010000 0.026121 55.000000 2.000000 1.380379 3.004693 2.612777
alpha2 0.010000 0.026121 60.000000 2.000000 1.380379 3.004693 2.612777
alpha2 0.010000 0.026121 65.000000 2.000000 1.380379 3.004693 2.612777
alpha2 0.010000 0.026121 70.000000 2.000000 1.380379 3.004693 2.612777
alpha2 0.010000 0.026121 75.000000 2.000000 1.380379 3.004693 2.612777
alpha2 0.010000 0.026121 80.000000 2.000000 1.380379 3.004693 2.612777
alpha2 0.010000 0.026121 85.000000 2.000000 1.380379 3.004693 2.612777
alpha2 0.010000 0.026121 90.000000 2.000000 1.380379 3.004693 2.612777
alpha2 0.010000 0.026121 95.000000 2.000000 1.380379 3.004693 2.612777
alpha2 0.010000 0.026121 100.000000 2.000000 1.380379 3.004693 2.612777
alpha2 0.010000 0.026121 105.000000 2.000000 1.380379 3.004693 2.612777
alpha2 0.010000 0.026121 110.000000 2.000000 1.380379 3.004693 2.612777
alpha2 0.010000 0.026121 115.000000 2.000000 1.380379 3.004693 2.612777
alpha2 0.010000 0.026121 120.000000 2.000000 1.380379 3.004693 2.612777
alpha2 0.010000 0.026121 125.000000 2.000000 1.380379 3.004693 2.612777
alpha2 0.010000 0.026121 130.000000 2.000000 1.380379 3.004693 2.612777
alpha2 0.010000 0.026121 135.000000 2.000000 1.380379 3.004693 2.612777
alpha2 0.010000 0.026121 140.000000 2.000000 1.380379 3.004693 2.612777
alpha2 0.010000 0.026121 145.000000 2.000000 1.380379 3.004693 2.612777
alpha2 0.010000 0.026121 150.000000 2.000000 1.380379 3.004693 2.612777
alpha2 0.010000 0.026121 155.000000 2.000000 1.380379 3.004693 2.612777
alpha2 0.010000 0.026121 160.000000 2.000000 1.380379 3.004693 2.612777
alpha2 0.010000 0.026121 165.000000 2.000000 1.380379 3.004693 2.612777
alpha2 0.010000 0.026121 170.000000 2.000000 1.380379 3.004693 2.612777
alpha2 0.010000 0.026121 175.000000 2.000000 1.380379 3.004693 2.612777
alpha2 0.010000 0.026121 180.000000 2.000000 1.380379 3.004693 2.612777
alpha2 0.010000 0.026121 185.000000 2.000000 1.380379 3.004693 2.612777
alpha2 0.010000 0.026121 190.000000 2.000000 1.380379 3.004693 2.612777
