ParamName True_Value Sim_Value InputType ResponseTime Interp_ResponseTime
alpha2 0.010000 0.019946 StepDown 990.000000 987.274243
alpha2 0.010000 0.047063 StepDown 990.000000 987.274243
alpha2 0.010000 0.052971 StepDown 990.000000 987.274243
alpha2 0.010000 0.078363 StepDown 990.000000 987.274243
alpha2 0.010000 0.017522 StepDown 990.000000 987.274243
alpha2 0.010000 0.069873 StepDown 990.000000 987.274243
alpha2 0.010000 0.094340 StepDown 990.000000 987.274243
alpha2 0.010000 0.011846 StepDown 990.000000 987.274243
alpha2 0.010000 0.004420 StepDown 990.000000 987.274243
alpha2 0.010000 0.026121 StepDown 990.000000 987.274243
alpha2 0.010000 0.050740 StepDown 990.000000 987.274243
alpha2 0.010000 0.025820 StepDown 990.000000 987.274243
alpha2 0.010000 0.071093 StepDown 990.000000 987.274243
alpha2 0.010000 0.036151 StepDown 990.000000 987.274243
alpha2 0.010000 0.074921 StepDown 990.000000 987.274243
alpha2 0.010000 0.019902 StepDown 990.000000 987.274243
alpha2 0.010000 0.070071 StepDown 990.000000 987.274243
alpha2 0.010000 0.079895 StepDown 990.000000 987.274243
alpha2 0.010000 0.053127 StepDown 990.000000 987.274243
alpha2 0.010000 0.040656 StepDown 990.000000 987.274243
alpha2 0.010000 0.081885 StepDown 990.000000 987.274243
alpha2 0.010000 0.087986 StepDown 990.000000 987.274243
alpha2 0.010000 0.049671 StepDown 990.000000 987.274243
alpha2 0.010000 0.001654 StepDown 990.000000 987.274243
alpha2 0.010000 0.042790 StepDown 990.000000 987.274243
alpha2 0.010000 0.093087 StepDown 990.000000 987.274243
alpha2 0.010000 0.036635 StepDown 990.000000 987.274243
alpha2 0.010000 0.070756 StepDown 990.000000 987.274243
alpha2 0.010000 0.078745 StepDown 990.000000 987.274243
alpha2 0.010000 0.055201 StepDown 990.000000 987.274243
alpha2 0.010000 0.095107 StepDown 990.000000 987.274243
alpha2 0.010000 0.094805 StepDown 990.000000 987.274243
alpha2 0.010000 0.033764 StepDown 990.000000 987.274243
alpha2 0.010000 0.012786 StepDown 990.000000 987.274243
alpha2 0.010000 0.084673 StepDown 990.000000 987.274243
alpha2 0.010000 0.040792 StepDown 990.000000 987.274243
alpha2 0.010000 0.069775 StepDown 990.000000 987.274243
alpha2 0.010000 0.055374 StepDown 990.000000 987.274243
alpha2 0.010000 0.094407 StepDown 990.000000 987.274243
alpha2 0.010000 0.068218 StepDown 990.000000 987.274243
alpha2 0.010000 0.029585 StepDown 990.000000 987.274243
alpha2 0.010000 0.024909 StepDown 990.000000 987.274243
alpha2 0.010000 0.051715 StepDown 990.000000 987.274243
alpha2 0.010000 0.080050 StepDown 990.000000 987.274243
alpha2 0.010000 0.020554 StepDown 990.000000 987.274243
alpha2 0.010000 0.081552 StepDown 990.000000 987.274243
alpha2 0.010000 0.090214 StepDown 990.000000 987.274243
alpha2 0.010000 0.003794 StepDown 990.000000 987.274243
alpha2 0.010000 0.095868 StepDown 990.000000 987.274243
alpha2 0.010000 0.026775 StepDown 990.000000 987.274243
alpha2 0.010000 0.082753 StepDown 990.000000 987.274243
alpha2 0.010000 0.074950 StepDown 990.000000 987.274243
alpha2 0.010000 0.059666 StepDown 990.000000 987.274243
alpha2 0.010000 0.030913 StepDown 990.000000 987.274243
alpha2 0.010000 0.015865 StepDown 990.000000 987.274243
alpha2 0.010000 0.077633 StepDown 990.000000 987.274243
alpha2 0.010000 0.067679 StepDown 990.000000 987.274243
alpha2 0.010000 0.019429 StepDown 990.000000 987.274243
alpha2 0.010000 0.003138 StepDown 990.000000 987.274243
alpha2 0.010000 0.060292 StepDown 990.000000 987.274243
alpha2 0.010000 0.081691 StepDown 990.000000 987.274243
alpha2 0.010000 0.039269 StepDown 990.000000 987.274243
alpha2 0.010000 0.030466 StepDown 990.000000 987.274243
alpha2 0.010000 0.048648 StepDown 990.000000 987.274243
alpha2 0.010000 0.022750 StepDown 990.000000 987.274243
alpha2 0.010000 0.025107 StepDown 990.000000 987.274243
alpha2 0.010000 0.007888 StepDown 990.000000 987.274243
alpha2 0.010000 0.023633 StepDown 990.000000 987.274243
alpha2 0.010000 0.032121 StepDown 990.000000 987.274243
alpha2 0.010000 0.020626 StepDown 990.000000 987.274243
alpha2 0.010000 0.020742 StepDown 990.000000 987.274243
alpha2 0.010000 0.040080 StepDown 990.000000 987.274243
alpha2 0.010000 0.064787 StepDown 990.000000 987.274243
alpha2 0.010000 0.019944 StepDown 990.000000 987.274243
alpha2 0.010000 0.088106 StepDown 990.000000 987.274243
alpha2 0.010000 0.049672 StepDown 990.000000 987.274243
alpha2 0.010000 0.033099 StepDown 990.000000 987.274243
alpha2 0.010000 0.073305 StepDown 990.000000 987.274243
alpha2 0.010000 0.064857 StepDown 990.000000 987.274243
alpha2 0.010000 0.030673 StepDown 990.000000 987.274243
alpha2 0.010000 0.014993 StepDown 990.000000 987.274243
alpha2 0.010000 0.073625 StepDown 990.000000 987.274243
alpha2 0.010000 0.042351 StepDown 990.000000 987.274243
alpha2 0.010000 0.054763 StepDown 990.000000 987.274243
alpha2 0.010000 0.079992 StepDown 990.000000 987.274243
alpha2 0.010000 0.017955 StepDown 990.000000 987.274243
alpha2 0.010000 0.036821 StepDown 990.000000 987.274243
alpha2 0.010000 0.033762 StepDown 990.000000 987.274243
d2 0.010000 0.003794 StepDown 1070.000000 1070.297305
d2 0.010000 0.035543 StepDown 960.000000 959.266463
d2 0.010000 0.028744 StepDown 960.000000 961.267019
d2 0.010000 0.088705 StepDown 955.000000 957.265907
d2 0.010000 0.061512 StepDown 955.000000 958.266185
d2 0.010000 0.042753 StepDown 960.000000 959.266463
d2 0.010000 0.042196 StepDown 960.000000 959.266463
d2 0.010000 0.026075 StepDown 965.000000 962.267296
d2 0.010000 0.089028 StepDown 955.000000 957.265907
d2 0.010000 0.036134 StepDown 960.000000 960.266741
d2 0.010000 0.066791 StepDown 955.000000 958.266185
d2 0.010000 0.010502 StepDown 985.000000 985.273687
d2 0.010000 0.060861 StepDown 955.000000 958.266185
d2 0.010000 0.030853 StepDown 965.000000 960.266741
d2 0.010000 0.041595 StepDown 960.000000 958.266185
