HEADER DATE 01-Aug-2017 12:32:51
HEADER RANDSEED 1748107480
Param True_Value Sim_Value Sim_Time Input mRNA foldedP fluo
d1 0.030000 0.028817 0.000000 2.000000 1.437060 1.197550 1.041348
d1 0.030000 0.028817 5.000000 2.000000 1.437060 1.197550 1.041348
d1 0.030000 0.028817 10.000000 2.000000 1.437060 1.197550 1.041348
d1 0.030000 0.028817 15.000000 2.000000 1.437060 1.197550 1.041348
d1 0.030000 0.028817 20.000000 2.000000 1.437060 1.197550 1.041348
d1 0.030000 0.028817 25.000000 2.000000 1.437060 1.197550 1.041348
d1 0.030000 0.028817 30.000000 2.000000 1.437060 1.197550 1.041348
d1 0.030000 0.028817 35.000000 2.000000 1.437060 1.197550 1.041348
d1 0.030000 0.028817 40.000000 2.000000 1.437060 1.197550 1.041348
d1 0.030000 0.028817 45.000000 2.000000 1.437060 1.197550 1.041348
d1 0.030000 0.028817 50.000000 2.000000 1.437060 1.197550 1.041348
d1 0.030000 0.028817 55.000000 2.000000 1.437060 1.197550 1.041348
d1 0.030000 0.028817 60.000000 2.000000 1.437060 1.197550 1.041348
d1 0.030000 0.028817 65.000000 2.000000 1.437060 1.197550 1.041348
d1 0.030000 0.028817 70.000000 2.000000 1.437060 1.197550 1.041348
d1 0.030000 0.028817 75.000000 2.000000 1.437060 1.197550 1.041348
d1 0.030000 0.028817 80.000000 2.000000 1.437060 1.197550 1.041348
d1 0.030000 0.028817 85.000000 2.000000 1.437060 1.197550 1.041348
d1 0.030000 0.028817 90.000000 2.000000 1.437060 1.197550 1.041348
d1 0.030000 0.028817 95.000000 2.000000 1.437060 1.197550 1.041348
d1 0.030000 0.028817 100.000000 2.000000 1.437060 1.197550 1.041348
d1 0.030000 0.028817 105.000000 2.000000 1.437060 1.197550 1.041348
d1 0.030000 0.028817 110.000000 2.000000 1.437060 1.197550 1.041348
d1 0.030000 0.028817 115.000000 2.000000 1.437060 1.197550 1.041348
d1 0.030000 0.028817 120.000000 2.000000 1.437060 1.197550 1.041348
d1 0.030000 0.028817 125.000000 2.000000 1.437060 1.197550 1.041348
d1 0.030000 0.028817 130.000000 2.000000 1.437060 1.197550 1.041348
d1 0.030000 0.028817 135.000000 2.000000 1.437060 1.197550 1.041348
d1 0.030000 0.028817 140.000000 2.000000 1.437060 1.197550 1.041348
d1 0.030000 0.028817 145.000000 2.000000 1.437060 1.197550 1.041348
d1 0.030000 0.028817 150.000000 2.000000 1.437060 1.197550 1.041348
d1 0.030000 0.028817 155.000000 2.000000 1.437060 1.197550 1.041348
d1 0.030000 0.028817 160.000000 2.000000 1.437060 1.197550 1.041348
d1 0.030000 0.028817 165.000000 2.000000 1.437060 1.197550 1.041348
d1 0.030000 0.028817 170.000000 2.000000 1.437060 1.197550 1.041348
d1 0.030000 0.028817 175.000000 2.000000 1.437060 1.197550 1.041348
d1 0.030000 0.028817 180.000000 2.000000 1.437060 1.197550 1.041348
d1 0.030000 0.028817 185.000000 2.000000 1.437060 1.197550 1.041348
d1 0.030000 0.028817 190.000000 2.000000 1.437060 1.197550 1.041348
d1 0.030000 0.028817 195.000000 2.000000 1.437060 1.197550 1.041348
d1 0.030000 0.028817 200.000000 2.000000 1.437060 1.197550 1.041348
d1 0.030000 0.028817 205.000000 2.000000 1.437060 1.197550 1.041348
d1 0.030000 0.028817 210.000000 2.000000 1.437060 1.197550 1.041348
d1 0.030000 0.028817 215.000000 2.000000 1.437060 1.197550 1.041348
d1 0.030000 0.028817 220.000000 2.000000 1.437060 1.197550 1.041348
d1 0.030000 0.028817 225.000000 2.000000 1.437060 1.197550 1.041348
d1 0.030000 0.028817 230.000000 2.000000 1.437060 1.197550 1.041348
d1 0.030000 0.028817 235.000000 2.000000 1.437060 1.197550 1.041348
d1 0.030000 0.028817 240.000000 2.000000 1.437060 1.197550 1.041348
d1 0.030000 0.028817 245.000000 2.000000 1.437060 1.197550 1.041348
d1 0.030000 0.028817 250.000000 2.000000 1.437060 1.197550 1.041348
d1 0.030000 0.028817 255.000000 2.000000 1.437060 1.197550 1.041348
d1 0.030000 0.028817 260.000000 2.000000 1.437060 1.197550 1.041348
d1 0.030000 0.028817 265.000000 2.000000 1.437060 1.197550 1.041348
d1 0.030000 0.028817 270.000000 2.000000 1.437060 1.197550 1.041348
d1 0.030000 0.028817 275.000000 2.000000 1.437060 1.197550 1.041348
d1 0.030000 0.028817 280.000000 2.000000 1.437060 1.197550 1.041348
d1 0.030000 0.028817 285.000000 2.000000 1.437060 1.197550 1.041348
d1 0.030000 0.028817 290.000000 2.000000 1.437060 1.197550 1.041348
d1 0.030000 0.028817 295.000000 2.000000 1.437060 1.197550 1.041348
d1 0.030000 0.028817 300.000000 2.000000 1.437060 1.197550 1.041348
d1 0.030000 0.028817 305.000000 0.000000 1.244382 1.192716 1.041332
d1 0.030000 0.028817 310.000000 0.000000 1.077560 1.179461 1.041224
d1 0.030000 0.028817 315.000000 0.000000 0.933123 1.159444 1.040951
d1 0.030000 0.028817 320.000000 0.000000 0.808066 1.134070 1.040454
d1 0.030000 0.028817 325.000000 0.000000 0.699790 1.104526 1.039689
d1 0.030000 0.028817 330.000000 0.000000 0.606043 1.071812 1.038622
d1 0.030000 0.028817 335.000000 0.000000 0.524875 1.036769 1.037230
d1 0.030000 0.028817 340.000000 0.000000 0.454599 1.000101 1.035497
d1 0.030000 0.028817 345.000000 0.000000 0.393752 0.962395 1.033414
d1 0.030000 0.028817 350.000000 0.000000 0.341071 0.924136 1.030976
d1 0.030000 0.028817 355.000000 0.000000 0.295458 0.885726 1.028185
d1 0.030000 0.028817 360.000000 0.000000 0.255967 0.847493 1.025044
d1 0.030000 0.028817 365.000000 0.000000 0.221774 0.809703 1.021562
d1 0.030000 0.028817 370.000000 0.000000 0.192170 0.772570 1.017746
d1 0.030000 0.028817 375.000000 0.000000 0.166538 0.736261 1.013609
d1 0.030000 0.028817 380.000000 0.000000 0.144345 0.700910 1.009163
d1 0.030000 0.028817 385.000000 0.000000 0.125131 0.666615 1.004421
d1 0.030000 0.028817 390.000000 0.000000 0.108494 0.633450 0.999398
d1 0.030000 0.028817 395.000000 0.000000 0.094090 0.601464 0.994109
d1 0.030000 0.028817 400.000000 0.000000 0.081619 0.570691 0.988568
d1 0.030000 0.028817 405.000000 0.000000 0.070821 0.541146 0.982790
d1 0.030000 0.028817 410.000000 0.000000 0.061472 0.512835 0.976792
d1 0.030000 0.028817 415.000000 0.000000 0.053378 0.485750 0.970586
d1 0.030000 0.028817 420.000000 0.000000 0.046370 0.459876 0.964188
d1 0.030000 0.028817 425.000000 0.000000 0.040302 0.435193 0.957612
d1 0.030000 0.028817 430.000000 0.000000 0.035048 0.411674 0.950871
d1 0.030000 0.028817 435.000000 0.000000 0.030499 0.389286 0.943980
d1 0.030000 0.028817 440.000000 0.000000 0.026561 0.367997 0.936950
d1 0.030000 0.028817 445.000000 0.000000 0.023151 0.347770 0.929794
d1 0.030000 0.028817 450.000000 0.000000 0.020199 0.328567 0.922524
d1 0.030000 0.028817 455.000000 0.000000 0.017643 0.310349 0.915151
d1 0.030000 0.028817 460.000000 0.000000 0.015430 0.293076 0.907686
d1 0.030000 0.028817 465.000000 0.000000 0.013514 0.276710 0.900139
d1 0.030000 0.028817 470.000000 0.000000 0.011855 0.261210 0.892520
d1 0.030000 0.028817 475.000000 0.000000 0.010418 0.246537 0.884838
d1 0.030000 0.028817 480.000000 0.000000 0.009174 0.232654 0.877102
d1 0.030000 0.028817 485.000000 0.000000 0.008098 0.219524 0.869320
d1 0.030000 0.028817 490.000000 0.000000 0.007165 0.207109 0.861501
d1 0.030000 0.028817 495.000000 0.000000 0.006358 0.195376 0.853650
d1 0.030000 0.028817 500.000000 0.000000 0.005659 0.184289 0.845777
d1 0.030000 0.028817 505.000000 0.000000 0.005054 0.173816 0.837885
d1 0.030000 0.028817 510.000000 0.000000 0.004530 0.163926 0.829983
d1 0.030000 0.028817 515.000000 0.000000 0.004076 0.154588 0.822076
d1 0.030000 0.028817 520.000000 0.000000 0.003684 0.145774 0.814169
d1 0.030000 0.028817 525.000000 0.000000 0.003344 0.137455 0.806267
d1 0.030000 0.028817 530.000000 0.000000 0.003049 0.129605 0.798376
d1 0.030000 0.028817 535.000000 0.000000 0.002794 0.122199 0.790498
d1 0.030000 0.028817 540.000000 0.000000 0.002574 0.115212 0.782640
d1 0.030000 0.028817 545.000000 0.000000 0.002382 0.108623 0.774803
d1 0.030000 0.028817 550.000000 0.000000 0.002217 0.102409 0.766993
d1 0.030000 0.028817 555.000000 0.000000 0.002074 0.096549 0.759212
d1 0.030000 0.028817 560.000000 0.000000 0.001950 0.091024 0.751463
d1 0.030000 0.028817 565.000000 0.000000 0.001842 0.085815 0.743749
d1 0.030000 0.028817 570.000000 0.000000 0.001749 0.080905 0.736074
d1 0.030000 0.028817 575.000000 0.000000 0.001669 0.076276 0.728438
d1 0.030000 0.028817 580.000000 0.000000 0.001599 0.071913 0.720846
d1 0.030000 0.028817 585.000000 0.000000 0.001539 0.067801 0.713298
d1 0.030000 0.028817 590.000000 0.000000 0.001487 0.063926 0.705797
d1 0.030000 0.028817 595.000000 0.000000 0.001441 0.060275 0.698344
d1 0.030000 0.028817 600.000000 0.000000 0.001402 0.056833 0.690941
d1 0.030000 0.028817 605.000000 0.000000 0.001368 0.053591 0.683589
d1 0.030000 0.028817 610.000000 0.000000 0.001339 0.050536 0.676290
d1 0.030000 0.028817 615.000000 0.000000 0.001313 0.047657 0.669046
d1 0.030000 0.028817 620.000000 0.000000 0.001291 0.044945 0.661856
d1 0.030000 0.028817 625.000000 0.000000 0.001272 0.042390 0.654722
d1 0.030000 0.028817 630.000000 0.000000 0.001256 0.039982 0.647645
d1 0.030000 0.028817 635.000000 0.000000 0.001242 0.037715 0.640626
d1 0.030000 0.028817 640.000000 0.000000 0.001229 0.035578 0.633665
d1 0.030000 0.028817 645.000000 0.000000 0.001218 0.033566 0.626764
d1 0.030000 0.028817 650.000000 0.000000 0.001209 0.031670 0.619921
d1 0.030000 0.028817 655.000000 0.000000 0.001201 0.029884 0.613139
d1 0.030000 0.028817 660.000000 0.000000 0.001194 0.028202 0.606417
d1 0.030000 0.028817 665.000000 0.000000 0.001188 0.026617 0.599755
d1 0.030000 0.028817 670.000000 0.000000 0.001183 0.025125 0.593155
d1 0.030000 0.028817 675.000000 0.000000 0.001179 0.023719 0.586615
d1 0.030000 0.028817 680.000000 0.000000 0.001175 0.022395 0.580137
d1 0.030000 0.028817 685.000000 0.000000 0.001171 0.021148 0.573720
d1 0.030000 0.028817 690.000000 0.000000 0.001168 0.019973 0.567365
d1 0.030000 0.028817 695.000000 0.000000 0.001166 0.018866 0.561070
